barcode,vc1,s61_vc12,s40_vc16,s41_vc16,s58_vc09,s59_vc09,s60_vc09,s1_vc10,s10_vc10,s11_vc10,s12_vc10,s13_vc10,s14_vc10,s15_vc10,s16_vc10,s17_vc10,s18_vc10,s19_vc10,s2_vc10,s3_vc10,s4_vc10,s5_vc10,s6_vc10,s7_vc10,s8_vc10,s9_vc10,s63_vc11,s64_vc11,s46_vc16,s47_vc16,s48_vc16,s49_vc16,s50_vc16,s51_vc16,s52_vc16,s53_vc16,s54_vc16,s55_vc16,s56_vc16,s57_vc16,s58_vc16,s59_vc16,s60_vc16,s61_vc16,s62_vc16,s63_vc16,s64_vc16,s43_vc17,s44_vc17,s45_vc17,s46_vc17,s47_vc17,s48_vc17,s49_vc17,s50_vc17,s51_vc17,s52_vc17,s53_vc17,s54_vc17,s55_vc17,s56_vc17,s57_vc17,s58_vc17,s59_vc17,s60_vc17
lm11 mapping,1738,9090,2190,3872,1970,0,3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4443,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm12 mapping,1355,6268,2498,953,4567,2356,3748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3265,3036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,575
lm13 mapping,172,1577,68,1631,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm14 mapping,1021,5450,1363,2040,0,1715,3493,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,3035,2977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm15 mapping,409,2276,0,355,930,2483,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,1345,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm16 mapping,760,2797,497,6157,566,578,1158,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2151,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm17 mapping,612,5121,749,482,0,676,1492,4856,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2165,2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4970,0,1973,0,22222,0,0,0,14789,0,0,0,0,0,548480,0
lm18 mapping,839,4018,270,2706,1203,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2226,1869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm19 mapping,143,1644,0,2265,1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm20 mapping,295,1449,350,1454,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm21 mapping,157,474,0,733,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm22 mapping,1090,7091,875,5157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3125,3090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm23 mapping,904,11116,448,990,0,959,5434,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,3013,2947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm24 mapping,522,3676,133,2851,0,915,2942,2994,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,2762,2573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5609
lm25 mapping,138,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm26 mapping,1255,9456,1757,4514,3650,0,2221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4165,3802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm27 mapping,143,596,0,827,457,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm28 mapping,683,4114,0,1857,59,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1981,1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm29 mapping,678,5743,3083,1593,1703,3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm30 mapping,1336,8154,1313,8410,2598,2814,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3971,3863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm31 mapping,464,3789,507,3181,0,139,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm32 mapping,1327,7944,3540,102,1842,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3783,3847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm33 mapping,494,1401,1342,298,1863,2091,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm34 mapping,678,5170,1214,2319,473,441,0,3,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,2286,2113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm35 mapping,1319,7761,3291,1577,3001,819,4113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3397,3196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm36 mapping,731,4582,1191,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2085,1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm37 mapping,795,5931,1850,825,0,1981,2228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2833,2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm38 mapping,1261,7318,905,1815,815,793,3158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164,2916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm39 mapping,1029,5329,2382,1681,1663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2542,2523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm40 mapping,2140,10452,3165,7717,3040,4792,4332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm41 mapping,112,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm42 mapping,426,2560,598,4071,0,536,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30351,21580
lm43 mapping,267,2056,0,3170,0,0,4129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm44 mapping,1083,7033,3540,3811,1110,650,589,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,3986,3295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97069,0,178232,0,3224,128,2048,4516,7361,0,0,0,5974,3717,0,0,105546,36015
lm45 mapping,156,0,449,1604,0,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm46 mapping,116,563,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm47 mapping,1150,8424,2873,1698,1729,0,894,12,0,0,0,0,0,1,0,0,0,0,490,0,0,0,0,0,0,0,3674,3541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322464,1177339,1181606,865724,221644,206209,78505,220050,181848,1150649,314425,405952,258322,257965,973906,0,38640,0
lm48 mapping,1701,12956,453,7698,3133,2015,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4917,4995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm49 mapping,529,3930,0,963,0,576,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1373,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm50 mapping,400,3754,1051,2833,77,0,1772,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1300,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm51 mapping,575,3167,1677,537,2811,630,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1946,1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm52 mapping,913,5707,1423,0,0,958,2495,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,2768,2543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm53 mapping,287,1660,0,2489,1888,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm54 mapping,984,5990,3128,2088,460,1024,625,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,2900,2797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm55 mapping,460,1613,0,0,0,701,737,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm56 mapping,1222,9054,2566,4705,0,2904,629,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3906,3760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm57 mapping,210,1395,147,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm58 mapping,953,9445,2343,4635,0,223,0,15,0,0,0,0,0,0,0,0,0,0,604,0,242,0,0,0,0,0,3237,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm59 mapping,2368,15629,0,6746,2096,3213,3794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6844,6404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm60 mapping,1048,1764,850,2154,1145,777,1558,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,1143,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm61 mapping,1410,3323,1750,829,1799,1314,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2386,2293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm62 mapping,474,3674,697,2463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261,1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm63 mapping,516,3929,1124,0,1472,2176,1532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1336,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm64 mapping,844,4180,875,707,1015,0,575,13455,0,0,0,0,0,0,0,0,0,0,1362,0,0,16346,0,0,0,0,1846,1571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm65 mapping,1927,9506,1958,4946,0,0,1826,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,4706,4922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1740
lm66 mapping,1187,8976,2498,2040,772,2968,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3257,3316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm67 mapping,726,5931,477,1034,0,1160,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2445,2268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm68 mapping,1120,9264,1563,4167,768,761,3705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4903,4977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm69 mapping,656,4742,0,3050,1387,1434,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm70 mapping,266,2028,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm71 mapping,416,1667,0,1356,880,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm72 mapping,484,3668,1176,662,1332,0,2456,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1800,1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm73 mapping,869,7295,0,0,1452,1348,5470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3534,3441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm74 mapping,834,5146,243,903,0,193,0,0,0,0,0,0,0,0,0,0,0,0,438,0,0,0,0,0,0,0,2145,1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm75 mapping,179,1183,512,1904,0,1163,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm76 mapping,387,1235,0,0,750,767,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1064,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm77 mapping,931,4775,2926,2408,1869,3171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667,2543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm78 mapping,1543,8090,3862,5720,1055,2176,3765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5032,4860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm79 mapping,897,4972,0,1905,727,1393,1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2287,2309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm80 mapping,909,5444,1806,1023,91,908,2563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2497,2557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm81 mapping,736,4769,2505,1500,1507,1254,1840,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2028,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm82 mapping,283,1066,0,0,0,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm83 mapping,939,5544,2093,1351,872,4173,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2666,2342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm84 mapping,163,1067,34,1092,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm85 mapping,2039,13600,652,12777,5122,4417,4224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5812,5767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm86 mapping,1229,7712,2523,6583,1045,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3590,3568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm87 mapping,1063,4021,968,2372,752,0,2105,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,2616,2326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm88 mapping,182,1122,595,0,0,957,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm89 mapping,603,4433,1909,3104,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,1551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm90 mapping,334,2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm91 mapping,556,3456,1145,3876,3021,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1690,1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
