barcode,I0Adose,I0AC3H,A1F0,A1F1,A2F0,A3F0,A4F0,A4F2,B1F0,B1F1,B1F2,B1F5,B2F0,B2F1,B2F2,B2F5,B3F0,B3F1,B3F2,B3F5,B4F0,B4F1,B4F2,B4F5,C1F0,C1F1,C1F2,C1F5,C2F0,C2F1,C2F2,C2F5,C3F0,C3F1,C3F2,C3F5,C4F0,C4F1,C4F2,C4F5,I8C3H
"Cluster_7397,contig_0 consensus mapping",5805,7752,5286,0,5755,6220,4929,0,4338,1,0,0,3722,276,0,0,3264,4297,1,0,4118,46257,10,6,4231,3432,5853,1832,4989,3573,2450,731,5657,1133,1,0,5184,1586,915,9,2
"Cluster_5885,contig_0 consensus mapping",3200,4276,2685,0,2716,4191,2813,0,3073,1550,6365,6757,2187,581,642,5,2066,375,0,0,2596,109,0,0,2606,310,1151,350,2960,1542,1966,1296,3669,790,9,1,3371,1161,2186,188,9895
"Cluster_15590,contig_0 consensus mapping",3349,3953,4151,0,2160,3093,1538,0,3106,12086,12213,6694,1956,149,0,0,1988,2097,0,0,2418,226,0,0,2483,947,9354,2422,3011,2871,1996,928,3539,1241,224,124,3232,1322,954,1491,4795
"Cluster_5221,contig_0 consensus mapping",2962,4027,4270,0,2280,2308,921,0,2817,688,0,0,2071,72,0,0,1859,588,507,1,2291,602,0,0,2474,794,6471,1637,2723,1550,692,235,3255,837,22,0,2934,829,566,39,5410
"Cluster_10375,contig_0 consensus mapping",3111,4306,4307,0,3027,2843,2067,0,3045,1098,0,18,2217,651,0,0,2130,822,0,1,2542,452,0,0,2754,441,1816,456,3191,5457,2676,1324,3676,1234,19,12,3496,2143,381,134,6193
"Cluster_14611,contig_0 consensus mapping",2798,3682,2904,0,4792,1512,2355,0,2475,173,4837,47494,1879,1486,6796,3549,1702,2218,0,0,1985,640,13,1823,2145,1077,669,411,2541,3925,1624,1085,2955,1372,4,0,2691,1136,88,1,5075
"Cluster_9420,contig_0 consensus mapping",2452,3374,2727,0,1388,2295,1106,0,2260,3962,3763,139,1543,98,0,0,1410,0,0,0,1753,0,0,0,2012,302,1168,289,2142,1414,1462,201,2430,652,0,0,2356,1085,926,70,3
"Cluster_14268,contig_0 consensus mapping",2887,3870,3313,0,1813,1455,1752,0,2484,1136,0,1,1975,412,411,2,1934,1805,140,0,2116,0,0,0,2373,1919,6425,2089,2731,1718,1084,366,3193,1913,2,6,2932,1218,361,154,6238
"Cluster_7050,contig_0 consensus mapping",1981,2637,2111,0,2449,1744,956,0,1705,0,0,0,1383,57,0,0,1259,1301,0,0,1497,524,0,0,1680,256,1279,428,1905,1520,1233,947,2272,3367,71811,13911,2140,3665,592,274,3103
"Cluster_6917,contig_0 consensus mapping",2247,2811,1763,0,1848,3831,2588,0,1952,2956,1028,48,1412,2880,20167,826,1388,0,0,0,1589,0,0,0,1688,310,231,252,2016,2361,1229,509,2272,691,0,0,2185,889,186,8,1
"Cluster_13137,contig_0 consensus mapping",2609,3022,2502,0,2497,3240,969,0,2322,4454,657,6,1643,325,0,27,1681,1662,0,2,1853,7565,14638,164590,1942,279,513,245,2446,3030,2129,1069,2814,803,0,0,2663,10205,2522,1153,2230
"Cluster_142,contig_0 consensus mapping",2297,3129,2016,0,1122,3543,1893,0,1893,0,0,0,1543,54,0,0,1471,0,0,0,1630,564,1,0,1740,444,1656,2311,2062,1578,801,275,2573,573,143,32,2229,820,1899,143,2
"Cluster_10769,contig_0 consensus mapping",2116,2630,2304,0,1311,1914,1756,0,2030,383,0,0,1320,159,778,56,1319,1098,1,0,1637,632,7,2137,1724,2831,3381,467,2004,3090,2147,1125,2441,552,2,7,2194,547,313,14,2
"Cluster_1171,contig_0 consensus mapping",1974,2501,1782,0,1511,1189,1291,0,1598,0,17,0,1320,43,0,0,1291,301,0,0,1466,348,0,0,1531,572,2804,2115,1834,2330,1231,1212,2202,953,4,0,2026,1344,1016,114,1
"Cluster_1330,contig_0 consensus mapping",1775,2394,1954,0,1298,1110,1300,0,1563,479,0,1,1145,1846,2280,197,1205,0,0,0,1404,138,0,0,1435,2405,5635,1689,1759,1058,886,249,2048,550,0,1,1888,1111,316,82,1
"Cluster_7854,contig_0 consensus mapping",2139,2561,2566,0,1523,839,1464,0,1936,577,0,0,1409,92,1959,1291,1308,242,0,0,1592,76,17,3684,1678,968,1536,1244,2051,1086,553,265,2422,2126,12,19,2289,979,364,38,0
"Cluster_4496,contig_0 consensus mapping",1625,2053,1606,0,1553,1518,1173,0,1416,1492,0,0,1039,222,0,0,927,1885,0,0,1235,121,0,0,1283,640,3554,2293,1545,776,1511,502,1841,492,0,0,1692,990,510,133,0
"Cluster_3284,contig_0 consensus mapping",1840,2397,2299,0,1224,2340,794,0,1733,4204,21,0,1270,66,132,41,1259,1317,1,0,1470,116,0,0,1545,567,2755,828,1873,2455,1310,887,2198,1066,245,28,2010,1609,1000,373,5564
"Cluster_12255,contig_0 consensus mapping",2012,2580,1984,0,1199,1638,1155,0,1531,569,0,0,1109,154,1857,9,1054,0,0,0,1259,0,0,0,1332,417,65,6,1516,649,458,284,1882,1926,477,19,1698,570,249,621,5807
"Cluster_9844,contig_0 consensus mapping",1868,2261,1746,56969,1370,1579,1291,0,1669,925,1136,87,1130,3,0,0,1138,631,128,763,1412,0,0,0,1369,399,579,1230,1773,1623,683,340,2073,854,11,0,2011,825,133,0,2960
"Cluster_138,contig_0 consensus mapping",1967,2648,2289,0,1276,1660,1120,0,1926,1930,0,0,1353,81,3016,13884,1243,1333,0,0,1477,738,1,0,1518,277,551,441,1787,1180,705,106,2146,635,0,0,1988,946,140,110,2
"Cluster_11895,contig_0 consensus mapping",1541,2093,2004,0,2059,413,1009,0,1175,9089,23934,142111,1068,53,0,0,971,905,61,13,1186,76,0,0,1261,2489,25718,2501,1517,1538,2362,770,1758,619,61,6,1628,1176,2032,280,2999
"Cluster_6601,contig_0 consensus mapping",1593,2177,3157,0,1852,988,1062,0,1530,1612,49,0,1137,305,701,440,1023,941,1,0,1216,193,1,0,1343,494,1977,1122,1527,1602,402,249,1841,1326,767,719,1749,3823,107,224,0
"Cluster_1677,contig_0 consensus mapping",1753,2339,1848,0,2139,1101,1366,0,1478,495,0,0,1273,80,1102,1,1209,1939,0,0,1390,104,0,0,1492,721,2256,1322,1729,900,1092,2376,2075,488,212,2,1935,939,344,244,2
"Cluster_9292,contig_0 consensus mapping",2099,2787,2008,0,2584,497,1411,0,2126,2788,48773,66143,1402,191,0,0,1366,199,2981,247,1641,0,1,0,1801,932,226,184,2012,474,338,38,2286,489,0,0,2107,1254,445,55,2
"Cluster_9753,contig_0 consensus mapping",2158,2681,2887,0,2230,3216,915,0,1944,267,0,0,1339,44,0,0,1335,2562,0,0,1699,0,0,0,1699,373,1128,637,1944,1216,689,252,2318,690,1,2,2235,720,193,17,0
"Cluster_3809,contig_0 consensus mapping",1931,2369,1966,0,1116,556,1827,0,1748,451,3485,3404,1271,830,1827,72,1294,639,0,0,1503,443,0,0,1585,486,3475,782,1881,861,961,481,2217,363,0,0,2118,702,256,16,6339
"Cluster_12938,contig_0 consensus mapping",1733,2130,2311,0,1163,1472,1250,0,1625,0,26,0,1055,27,0,0,1064,137,0,0,1205,391,0,0,1348,338,1614,1042,1554,471,852,332,1932,719,81,1,1682,695,341,80,3019
"Cluster_15064,contig_0 consensus mapping",2003,2441,2070,0,1928,1327,1494,0,1710,1434,20,0,1304,119,0,0,1297,1453,0,0,1425,342,0,0,1601,768,3091,716,1932,1090,1450,571,2325,467,8,0,2082,836,128,24,3176
"Cluster_2297,contig_0 consensus mapping",1843,2369,2084,0,1036,1557,1472,0,1582,0,0,0,1177,89,1534,266,1114,300,0,0,1371,34,0,0,1396,292,1253,758,1683,1032,392,177,1982,651,9,0,1887,691,490,83,1
"Cluster_14475,contig_0 consensus mapping",1752,2214,1621,0,989,663,1275,0,1679,714,11325,13156,1131,815,5695,15118,1130,1149,0,0,1348,55,0,0,1360,487,972,373,1648,1171,606,213,2050,379,6535,492,1899,806,553,562,1
"Cluster_4370,contig_0 consensus mapping",1477,1799,919,0,604,471,756,0,1473,0,0,0,989,35,0,0,927,709,0,0,1074,161,0,0,1199,365,1628,426,1315,1042,1332,476,1655,407,177,22,1584,475,151,14,0
"Cluster_5419,contig_0 consensus mapping",1641,2119,1836,0,1821,1515,1063,0,1411,0,417,61,1068,85,728,1329,1013,565,999,19128,1276,162,0,0,1239,1554,2059,1525,1570,2033,1430,488,1837,345,0,0,1653,400,945,415,0
"Cluster_7637,contig_0 consensus mapping",1876,2391,2215,0,1677,1497,1070,0,1652,2195,136,0,1254,53,0,0,1226,611,549,4934,1453,104,0,0,1553,344,471,159,1852,1755,823,453,2199,318,4,0,1964,603,153,17,1
"Cluster_14323,contig_0 consensus mapping",1822,2379,1941,0,1319,1336,951,0,1675,455,54,1,1148,1676,4588,3749,1136,382,0,1,1336,183,0,0,1438,196,145,90,1790,2972,1413,963,2189,601,0,0,1916,861,673,162,5740
"Cluster_2585,contig_0 consensus mapping",1581,1975,2183,0,1439,1238,1239,0,1430,0,0,0,1004,10,749,139,978,1020,0,0,1134,116,0,0,1204,591,2235,989,1474,542,429,172,1849,435,180,72,1732,680,325,72,1
"Cluster_8580,contig_0 consensus mapping",1441,1824,1816,0,1143,1938,886,0,1170,1,3216,351,888,251,0,0,890,888,0,0,1075,1,3,2301,1070,1359,2000,488,1323,379,623,44,1617,1574,10,0,1528,846,144,48,0
"Cluster_6975,contig_0 consensus mapping",1863,2334,2299,0,1082,1061,856,0,1667,0,19,0,1171,233,749,363,1261,1461,2,0,1415,0,0,0,1511,985,1738,655,1844,1983,1069,453,2148,447,0,0,1973,857,164,10,2907
"Cluster_2678,contig_0 consensus mapping",1447,1844,1488,0,1829,1277,814,0,1294,0,0,0,881,329,2028,571,954,1287,1,0,1141,197,0,0,1189,165,1438,798,1426,956,1160,831,1663,957,12,1,1545,683,43,0,3
"Cluster_10227,contig_0 consensus mapping",1837,2349,1709,0,1204,1347,1459,0,1586,1817,1401,367,1170,9,1,0,1206,788,1,0,1342,184,0,0,1408,69,439,303,1764,1534,980,400,2201,712,0,1,2083,1286,595,1160,2889
"Cluster_15751,contig_0 consensus mapping",1408,1879,1414,38450,1118,837,981,0,1319,384,441,17,1047,2122,3325,262,968,1698,3021,2718,1129,0,0,0,1198,251,542,733,1527,986,1210,662,1775,393,0,0,1613,792,358,83,1
"Cluster_5642,contig_0 consensus mapping",1665,2019,1719,0,882,1731,1258,0,1498,578,0,0,1021,4642,5950,116,956,2623,1,0,1144,692,0,1,1291,472,5515,2092,1501,1300,1488,467,1833,535,0,0,1646,533,287,13,0
"Cluster_6296,contig_0 consensus mapping",1581,1922,1648,0,1057,1447,706,0,1424,0,5,0,967,67,688,88,970,1353,1061,5806,1217,413,0,0,1235,314,829,299,1515,3685,1448,1017,1708,962,7,3,1625,720,581,130,1
"Cluster_8983,contig_0 consensus mapping",1756,2265,1467,0,1389,2913,1333,0,1476,484,140,420,1110,327,3379,183,1120,1575,0,0,1242,290,0,0,1313,738,674,209,1587,808,634,213,1901,373,0,0,1837,482,43,6,6066
"Cluster_13509,contig_0 consensus mapping",1742,2213,1945,0,1133,3036,770,0,1476,341,8,0,1142,69,0,0,1109,3045,0,2,1196,201,0,0,1345,618,1920,860,1640,1507,3030,1017,1826,605,0,0,1695,790,285,32,1
"Cluster_13207,contig_0 consensus mapping",1553,1887,1424,0,1757,1332,1234,0,1394,0,0,0,1003,152,2465,811,1063,1803,0,1,1176,590,0,0,1222,176,708,625,1553,1654,953,537,1786,2061,1322,86,1690,472,245,58,5567
"Cluster_12084,contig_0 consensus mapping",1554,1825,2056,12164,1632,512,629,0,1302,319,0,0,878,58,0,0,917,1426,8911,435,1042,0,0,0,1135,134,351,215,1391,863,694,428,1726,341,0,0,1537,2310,266,113,3
"Cluster_740,contig_0 consensus mapping",1404,1830,1514,0,1151,704,646,0,1364,0,0,0,950,2335,5350,38500,908,1073,0,1,1108,76,0,0,1104,390,1957,304,1351,759,972,742,1574,346,1146,117,1558,2080,209,267,1
"Cluster_7934,contig_0 consensus mapping",1444,1916,1877,0,1312,856,925,0,1350,0,50,1,1061,56,0,0,977,0,14,0,1234,634,9,2207,1268,735,801,679,1482,1008,667,362,1771,453,2,2,1692,334,239,38,3742
"Cluster_817,contig_0 consensus mapping",1535,2025,1642,0,1327,191,861,0,1332,3175,867,1693,1027,30,1848,179,1008,363,0,0,1167,143,0,0,1205,128,316,165,1460,590,516,317,1810,442,0,0,1668,491,303,124,1
"Cluster_136,contig_0 consensus mapping",1705,2064,1737,0,1637,1353,1157,0,1468,95,0,0,1080,300,0,0,1076,3218,0,1,1262,147,0,0,1381,408,242,135,1517,1297,1453,948,1952,726,4,5,1782,973,403,23,5966
"Cluster_11127,contig_0 consensus mapping",1974,2651,2725,0,1371,1786,1292,0,1722,568,0,0,1317,77,0,0,1330,0,0,0,1552,435,0,0,1621,267,378,211,1910,768,831,380,2314,497,152,0,2099,2552,1162,1063,3
"Cluster_1633,contig_0 consensus mapping",1767,2334,2088,0,794,1431,621,0,1677,248,916,1901,1208,1726,4448,981,1122,0,0,0,1350,5,0,0,1421,121,219,110,1633,421,564,197,1988,235,112,9,1880,977,370,271,0
"Cluster_4247,contig_0 consensus mapping",1896,2399,2277,0,1845,2425,1156,0,1692,707,17481,10077,1240,2566,1203,2040,1243,1499,2,0,1428,186799,135790,26745,1485,516,786,399,1772,1027,2112,1014,2072,536,42,3,2033,847,131,2,3186
"Cluster_19,contig_0 consensus mapping",1517,2113,1741,0,1051,2677,782,0,1400,233,12,0,1024,19,0,0,914,2292,0,0,1130,285,0,0,1256,450,1610,683,1395,1241,2397,864,1661,457,0,0,1500,613,174,29,0
"Cluster_5750,contig_0 consensus mapping",1457,1973,1461,0,1135,905,524,0,1425,0,0,0,1022,292,7348,482,989,634,16,0,1133,414,0,0,1140,146,186,145,1434,2734,1147,446,1687,432,0,0,1472,818,572,0,11064
"Cluster_2770,contig_0 consensus mapping",1131,1501,1602,0,957,1223,895,0,956,0,5,0,732,30,0,0,700,1443,2,1,838,55,4,992,840,108,276,170,1135,661,1679,727,1317,1379,10,41,1284,496,79,0,2591
"Cluster_2888,contig_0 consensus mapping",1452,1800,1658,0,1308,1366,1042,0,1348,1,0,0,884,128,1,0,772,709,0,1,1027,65,0,0,1064,399,2624,880,1261,1379,926,269,1534,440,410,29,1389,871,110,1,0
"Cluster_8720,contig_0 consensus mapping",1594,1972,1307,0,935,726,868,0,1334,255,1301,1702,994,1528,224,17,1010,823,1041,1488,1146,318,0,0,1195,303,287,236,1477,213,582,120,1767,588,219,67,1666,433,815,65,2975
"Cluster_11864,contig_0 consensus mapping",1348,1773,1421,0,1199,1381,537,0,1146,0,29,0,850,15,0,0,888,130,0,0,980,147,0,0,1080,302,1281,903,1280,1004,1100,492,1465,584,254,10,1449,1160,196,126,3319
"Cluster_12828,contig_0 consensus mapping",1301,1730,1296,0,1554,1587,1046,0,1180,1522,23,0,828,55,0,0,890,2852,1,0,1068,0,0,0,1081,343,49,35,1337,344,1124,708,1543,492,0,0,1390,605,104,25,0
"Cluster_13340,contig_0 consensus mapping",1674,2178,1689,0,1132,2169,1457,0,1525,0,0,0,1098,39,0,0,1060,380,11211,14913,1285,76,0,0,1337,116,2,35,1528,402,484,103,1834,322,0,0,1717,354,35,1,5111
"Cluster_2829,contig_0 consensus mapping",1462,1844,1387,0,836,1331,696,0,1301,0,1,0,907,2598,4432,21161,878,629,3202,21,1129,0,0,0,1111,55,970,519,1361,112,258,102,1546,757,19,16,1555,638,454,69,1
"Cluster_8692,contig_0 consensus mapping",1227,1431,1185,0,753,1404,749,0,1225,5185,178,6,778,38,0,0,725,313,8109,23240,843,215,0,0,887,1242,6813,1549,1186,1823,673,257,1442,837,16,18,1334,2330,453,450,2882
"Cluster_7,contig_0 consensus mapping",1428,1771,1873,0,709,882,774,0,1297,653,1633,184,1016,13,3359,6589,840,2516,0,0,1089,131,0,0,1192,229,621,749,1366,767,722,192,1624,364,1,81,1529,1184,352,602,76
"Cluster_7778,contig_0 consensus mapping",1199,1563,1520,0,1142,693,550,0,904,734,242,312,838,2049,5361,213,724,1184,1,0,945,0,0,0,1003,525,1421,735,1101,1532,748,187,1390,488,1,0,1296,647,73,1,0
"Cluster_11024,contig_0 consensus mapping",1581,1951,1431,0,1102,2142,1206,0,1392,0,51,0,913,11,107,14,928,377,0,0,1183,100,0,0,1251,801,826,182,1459,1174,1375,527,1796,319,0,1,1652,503,190,3,3
"Cluster_3646,contig_0 consensus mapping",1538,1849,2200,22861,1138,1614,1157,0,1367,0,10,0,970,268,3333,8101,1057,682,7,0,1039,124,0,0,1164,1528,2634,1989,1481,1228,273,286,1722,423,39,0,1613,2774,1311,2920,3442
"Cluster_15294,contig_0 consensus mapping",1299,1651,1448,0,888,1610,1038,0,1218,161,0,0,904,52,0,0,862,295,0,1,976,433,0,0,1071,540,1652,281,1338,1001,991,465,1637,268,36,0,1488,703,98,33,1335
"Cluster_172,contig_0 consensus mapping",1384,1929,1714,0,1728,631,733,0,1258,0,0,0,932,130,0,0,898,1272,0,0,1061,0,0,0,1174,155,733,407,1272,754,465,185,1645,364,0,0,1486,406,134,17,1968
"Cluster_6411,contig_0 consensus mapping",1474,1832,1418,0,905,1715,564,0,1302,0,0,0,1008,2373,3184,53,898,598,0,0,1166,0,0,0,1159,301,2641,1148,1384,988,896,650,1659,394,0,0,1588,561,539,180,6640
"Cluster_11508,contig_0 consensus mapping",1406,1822,1312,0,761,840,944,0,1255,0,88,1,919,0,0,0,899,1821,0,0,1013,47,0,0,1099,281,685,377,1327,1693,1234,537,1579,701,35,0,1429,360,84,6,3085
"Cluster_12143,contig_0 consensus mapping",1107,1512,951,0,664,612,774,0,1044,0,27,0,775,96,0,0,751,870,0,0,879,502,2213,73,942,203,816,643,1136,955,334,147,1339,384,1,134,1229,660,45,0,1
"Cluster_8890,contig_0 consensus mapping",1528,1967,2206,0,1709,784,977,0,1379,0,27,0,1096,2605,2233,481,978,1,1099,5130,1241,18,0,0,1218,130,476,119,1590,1610,852,382,1849,659,43,325,1716,946,68,48,6557
"Cluster_2509,contig_0 consensus mapping",1236,1569,1574,0,640,996,578,0,1014,279,0,0,822,349,3629,1815,802,374,4,0,929,203,0,0,969,863,2029,1126,1163,824,632,306,1368,320,1,0,1266,517,38,0,1
"Cluster_12055,contig_0 consensus mapping",1174,1416,1735,0,1257,985,722,0,1109,1527,0,2,730,55,0,0,757,727,0,0,815,61,0,0,914,141,316,37,1136,423,686,377,1329,350,0,0,1187,459,247,105,2935
"Cluster_10816,contig_0 consensus mapping",1249,1653,1918,0,782,1420,587,0,1125,0,1,0,793,50,0,0,819,934,0,0,931,360,0,1,950,137,799,280,1232,2556,1146,1526,1417,262,0,0,1373,927,396,125,1
"Cluster_12667,contig_0 consensus mapping",1358,1764,1289,0,1216,1107,840,108709,1298,435,0,1,908,155,0,0,938,1092,1,0,1023,257,5,2287,1057,1116,1388,638,1327,1478,1855,640,1548,895,776,62,1505,722,207,1,6359
"Cluster_8194,contig_0 consensus mapping",1262,1543,1427,0,872,1612,811,0,1006,0,0,0,861,90,0,0,903,1281,0,2,1022,548,0,0,1099,1636,11143,3691,1326,941,1332,436,1528,363,378,8,1525,3648,2858,183,1
"Cluster_180,contig_0 consensus mapping",1483,1962,1917,0,2031,2504,1114,0,1249,8,11804,3844,985,673,4361,285,1021,663,0,0,1127,67,0,0,1224,230,329,131,1462,795,826,382,1664,321,17,0,1597,3836,2561,1154,0
"Cluster_2046,contig_0 consensus mapping",905,1193,615,0,534,1199,721,0,885,1311,33037,11261,622,599,5859,436,594,2193,3,0,720,0,0,0,762,163,1316,359,925,575,256,196,1102,286,0,0,1006,2619,1393,474,0
"Cluster_9917,contig_0 consensus mapping",1119,1486,1089,0,967,960,736,0,1141,332,0,0,783,38,0,0,779,917,0,0,848,63,0,0,901,109,370,321,1140,1045,1171,415,1365,350,2,0,1313,501,80,0,0
"Cluster_15822,contig_0 consensus mapping",1504,1848,2046,0,1494,1663,823,0,1352,0,18,0,986,173,533,111,1060,284,0,0,1186,76,1,0,1189,221,1275,962,1494,1179,1308,449,1720,873,2,60,1543,10863,14794,9894,1
"Cluster_15887,contig_0 consensus mapping",1649,2163,1502,29083,1436,371,819,1,1429,647,44280,74699,1011,43,0,0,1128,143,1207,7,1230,0,0,0,1294,87,4,0,1499,486,486,155,1745,262,0,0,1646,461,223,52,1
"Cluster_9134,contig_0 consensus mapping",1483,1878,1701,0,1338,1763,562,0,1232,2059,15,0,993,79,1600,2,1009,4142,3491,10167,1126,566,0,0,1172,188,240,80,1476,1331,865,381,1719,522,0,0,1634,807,13,1,0
"Cluster_6538,contig_0 consensus mapping",1274,1544,1413,0,1318,852,302,0,1130,0,24,0,899,66,0,0,769,490,0,0,1002,176,0,0,970,250,1783,878,1274,2459,1101,292,1453,535,0,0,1405,685,162,0,0
