barcode,I0Adose,I0AC3H,A1F0,A1F1,A2F0,A3F0,A4F0,A4F2,B1F0,B1F1,B1F2,B1F5,B2F0,B2F1,B2F2,B2F5,B3F0,B3F1,B3F2,B3F5,B4F0,B4F1,B4F2,B4F5,C1F0,C1F1,C1F2,C1F5,C2F0,C2F1,C2F2,C2F5,C3F0,C3F1,C3F2,C3F5,C4F0,C4F1,C4F2,C4F5,I8C3H
"Cluster_160,contig_0 consensus mapping",1266,1663,1588,0,966,655,651,0,1405,239,0,0,930,19,0,0,910,524,0,0,1013,3105,2,0,1148,77,61,58,1338,1559,1048,706,1418,1813,100,214,1478,470,57,29,3257
"Cluster_11319,contig_0 consensus mapping",1047,1352,1347,0,989,1139,623,0,1028,0,1,0,720,177,6181,200,688,672,0,0,828,225,1,0,828,93,394,130,981,789,606,251,1184,310,0,0,1110,11586,129013,50257,0
"Cluster_3857,contig_0 consensus mapping",1242,1573,2109,0,861,838,592,0,1227,1225,1,0,889,398,1013,3794,831,1171,0,0,997,0,0,0,1061,226,344,128,1331,2488,2282,4981,1548,396,0,0,1420,1053,222,41,12714
"Cluster_6511,contig_0 consensus mapping",785,1013,738,0,439,746,366,0,655,0,22,0,518,3,0,0,476,508,0,0,578,96,0,0,614,120,228,118,742,1046,558,1557,928,273,231,5,842,508,75,0,0
"Cluster_3174,contig_0 consensus mapping",968,1197,966,0,1099,1124,332,0,847,0,0,0,649,41,0,0,654,65,0,0,701,403,0,0,773,123,92,44,887,561,605,460,1174,800,192,5,1038,6798,126,360,3313
"Cluster_6788,contig_0 consensus mapping",1027,1336,1043,0,974,1539,633,0,940,129,4,0,697,42,748,37,702,0,0,0,825,232,0,0,854,210,736,876,1056,1835,2227,1003,1246,410,2,0,1133,701,92,0,2
"Cluster_11625,contig_0 consensus mapping",1111,1402,1485,0,1086,2369,662,0,984,500,1,0,686,200,3167,9179,710,223,0,0,826,115,0,0,847,157,2017,240,980,787,470,282,1231,248,5,0,1172,1286,395,260,0
"Cluster_13260,contig_0 consensus mapping",1156,1390,1389,0,1185,1615,624,0,1012,0,0,0,760,17,0,0,793,597,25194,8608,836,344,0,0,919,519,1095,448,1118,501,694,360,1350,366,2,0,1252,313,41,2,2946
"Cluster_452,contig_0 consensus mapping",705,977,1026,0,1048,575,498,0,781,0,6,0,564,31,0,0,512,0,0,0,589,56,0,0,633,88,303,158,737,1639,587,215,920,751,953,379,885,313,20,0,0
"Cluster_4726,contig_0 consensus mapping",907,1167,798,0,1082,518,818,0,872,2795,0,1,655,599,1762,24,579,2532,1,0,609,245,0,0,791,91,341,270,823,390,800,208,980,356,0,0,910,304,87,0,6385
