barcode,I1,I2,I3,1E,1F5,1OD,1OP,1SD,1SM,1SP,2E,2F5,2OD,2OP,2SD,2SM,2SP,3E,3F5,3OD,3OP,3SD,3SM,3SP,4E,4F5,4OD,4OP,4SD,4SM,4SP,5E,5F5,5OD,5OP,5SD,5SM,5SP,C8
"Cluster_13340,contig_0 consensus mapping",375,417,328,54,62,22,34,0,0,0,34,1747,1377,99,10016,888,1616,0,0,0,1,4,1,0,0,1,0,37,11,0,0,2,2,0,8,23,1,0,0
"Cluster_2829,contig_0 consensus mapping",347,339,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cluster_8692,contig_0 consensus mapping",744,877,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cluster_7,contig_0 consensus mapping",645,754,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7778,contig_0 consensus mapping",663,685,590,8,3,0,6,0,0,0,2,0,0,3,4,2,0,0,0,0,1,0,0,0,2375,195,391,1917,1,0,0,0,0,1,0,0,0,0,0
"Cluster_11024,contig_0 consensus mapping",516,615,494,14304,2280,3408,2221,0,0,0,3,10,5,110,5,10,1,2,3,7,42,3,0,0,24970,17781,17746,31440,16409,11,0,3,41,2,6,1,0,0,0
"Cluster_3646,contig_0 consensus mapping",564,696,673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_15294,contig_0 consensus mapping",613,789,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"Cluster_172,contig_0 consensus mapping",350,329,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_6411,contig_0 consensus mapping",605,718,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11508,contig_0 consensus mapping",479,534,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cluster_12143,contig_0 consensus mapping",554,696,592,631,350,456,328,0,0,0,14,0,1,12,8,11,0,1,0,4,25,1,0,0,21297,4325,5061,19160,9,2,2,0,1,0,5,0,0,0,0
"Cluster_8890,contig_0 consensus mapping",294,310,306,42,23,23,26,0,0,0,2325,3813,4021,5000,2525,564,12327,0,0,0,1,1,1,0,4,0,0,23,23,1,0,2,2,1,6,8,27,0,1
"Cluster_2509,contig_0 consensus mapping",502,505,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Cluster_12055,contig_0 consensus mapping",478,602,418,77,88,48,41,0,0,0,1360,2965,3350,3194,2713,1104,2595,0,3,0,3,0,1,0,3,0,1,71,1,1,0,4,0,0,6,3,8,0,0
"Cluster_10816,contig_0 consensus mapping",620,660,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12667,contig_0 consensus mapping",763,847,855,17836,12571,14995,10050,0,0,0,17,10,4,173,29,127,0,3,2,4,12,6,0,0,13404,16802,11548,12841,13,20328,365,5,22,5,14,3,84,0,0
"Cluster_8194,contig_0 consensus mapping",559,576,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_180,contig_0 consensus mapping",724,734,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cluster_2046,contig_0 consensus mapping",492,578,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9917,contig_0 consensus mapping",585,654,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_15822,contig_0 consensus mapping",306,393,343,39782,27119,31294,20678,0,0,0,10,16,8,263,16,111,1,2,9,6,9,5,0,0,3769,23303,19383,6961,3406,12,0,11,40,5,20,8,614,0,0
"Cluster_15887,contig_0 consensus mapping",278,290,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9134,contig_0 consensus mapping",863,957,772,11,11,11,11,0,1,0,1689,2276,2829,3299,1549,523,4889,0,0,2,0,1,0,0,2,0,0,12,1,0,0,1,1,1,2,3,7,0,1
"Cluster_6538,contig_0 consensus mapping",915,1181,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12419,contig_0 consensus mapping",416,402,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
"Cluster_13669,contig_0 consensus mapping",466,547,451,0,3,3,0,0,0,0,315,37,5,564,0,0,25,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0
