barcode,in0a,in0a_v2,in0a_v3,in0a_v4,in0a_v5,in0a_v6,in0a_v7,in0a_v8,L7167,L7168,L7169,L7170,L7176,L7177,L7178,L7179,L7180,L7181,L7182,L7183,L7184,L7189,L7190,L7191,L7192,L7193,L7194,L7195,L7196,L7197,L7198,L7199,L7200,L7402,L7404,L7405,L7406,L7407,L7408,L7410,L7411,L7412,L7413,L7414,L7417,S7167,S7168,S7169,S7170,S7176,S7177,S7178,S7179,S7180,S7181,S7182,S7183,S7184,S7189,S7190,S7191,S7192,S7193,S7194,S7195,S7196,S7197,S7198,S7199,S7200,S7401,S7402,S7403,S7404,S7405,S7406,S7407,S7408,S7409,S7410,S7411,S7412,S7413,S7414,S7415,S7416,S7417,S7418,L7028,L7032,L7034,L7037,S7028,S7029,S7030,S7031,S7032,S7033,S7035,S7036,S7037,U7027,U7028,U7029,U7030,U7031,U7032,U7033,U7034,U7035,U7036,L7039,L7040,L7041,L7042,L7043,L7045,L7046,L7048,S7039,S7040,S7041,S7042,S7043,S7045,S7046,S7047,S7048,U7039,U7040,U7041,U7042,U7043,U7045,U7046,U7047,U7048,L1,L10,L11,L12,L13,L14,L2,L3,L4,L5,L6,L7,L7094,L7095,L7096,L7097,L7098,L7099,L7100,L9,S1,S10,S11,S12,S13,S14,S2,S3,S4,S5,S6,S7,S7094,S7095,S7096,S7097,S7098,S7099,S7100,S9,U1,U10,U11,U12,U13,U14,U2,U3,U4,U5,U6,U7,U7094,U7095,U7096,U7097,U7098,U7099,U7100,U9
"Cluster_11352,contig_0 consensus mapping",122,148,122,148,216,141,148,179,0,3,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1956,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,230,0,0,0,0,0,1,0,0,0,0,0,1,0,4081,0,0,1740,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,1,2,0,33,0,44,0,1529,1,233,386,383,0,13,28,289,2,2,751,6,0,4,218,0,1,0,0,0,2,127,132,0,3,0,296,87,1,0,1,0,24,155,103,219,0,4,107,3,2,313,67,1,0,66,1,45,452,158
"Cluster_13610,contig_0 consensus mapping",136,107,136,107,167,130,102,150,257,0,0,5784,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2755,0,0,0,0,0,0,1685,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5311,0,0,0,0,0,0,3,0,0,17,3,20,1,74,3,3,1,24,182,92,1,156,796,228,0,1,761,1,1,0,124,1,0,0,1,2,3,213,93,399,1,0,95,146,6,4,1,925,1,232,622,306,145,14,829,55,288,31,385,0,1032,2,3,27,307,0
"Cluster_20211,contig_0 consensus mapping",106,133,106,133,211,156,102,189,44,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,764,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,363,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,471,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,0,14,0,0,0,1,1212,0,1,6996,0,0,0,1,0,1,2,56,0,416,3,0,0,61,110,86,4,0,1,1,0,0,180,2,0,260,0,8,0,1,0,1,1,136,237,0,0,1,71,281,1,3,378,147,0,2,133,35,0,569,1107,38,218,281,113,260,502,2,1,83,3,0
"Cluster_22307,contig_0 consensus mapping",134,164,134,164,243,167,139,187,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,10908,0,0,0,1,1,0,2326,0,53,0,55,0,4,1,272,145,2,2,3,1,181,0,2,1186,2,1,273,30,0,1,240,0,0,1,213,147,1,1,0,286,692,0,0,819,1,30,527,0,49,0,678,0,1209,0,230,1,1193,0,84,401,155,145,266
"Cluster_7337,contig_0 consensus mapping",138,134,138,134,234,147,140,154,2,0,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,2343,0,0,2,0,0,1,2,0,0,1,2,0,1,0,1,0,2,0,3,0,0,0,0,0,2,1,2,0,2718,0,0,0,0,0,4,3,0,1,6799,0,487,0,0,0,0,0,0,0,0,0,1712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,7,85,580,222,6,4,6,100,401,0,10,178,898,5,0,1,1415,9,13,832,108,3,7200,1488,1,2,2,1,355,46,0,0,156,312,9696,14,1240,2,13,495,202,542,1158,5,181,1518,32,729,297,342,415,1038,595,179,22,62
"Cluster_10360,contig_0 consensus mapping",131,137,131,137,237,152,118,182,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1815,1,0,0,0,0,0,0,0,0,0,569,0,0,0,0,840,0,1,1,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,804,31,0,234,0,0,0,0,298,760,0,65,353,2,0,0,666,6,1,0,265,0,229,462,0,0,0,280,0,164,0,0,220,91,0,1,41,0,6,184,81,839,0,358,1,13,79,312,150,373,0,0,2,227,0,80
"Cluster_30819,contig_0 consensus mapping",150,133,150,133,220,154,134,194,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2471,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,669,0,0,0,0,0,0,1,2,4,0,0,0,1402,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,13232,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3010,0,0,1,0,0,0,0,136,0,0,0,0,0,2,0,0,20,1,89,0,62,0,6,4,6,232,78,2,27,100,202,0,0,850,6,6,6,64,0,553,0,0,1,0,410,399,125,1,0,6,203,0,1,101,1,15,198,1,251,310,509,370,423,2463,0,125,550,928,925,688,594,46,0
"Cluster_15602,contig_0 consensus mapping",128,131,128,131,198,155,114,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1049,0,0,0,0,0,0,499,0,0,0,0,761,0,0,2,0,0,0,0,0,0,12,0,0,0,4,0,0,0,13393,0,0,1,2613,0,0,0,16,0,0,0,10,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,16809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2337,66,1,2,0,2,0,399,691,371,0,21,112,2,1,0,738,2,2,153,125,2,103,1,0,2,1,1,348,113,0,1,0,193,0,3,12,1198,13,2,95,47,153,196,1,2,1,0,17,0,2,85,334,0,1,210
"Cluster_25395,contig_0 consensus mapping",104,119,104,119,192,162,111,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4336,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,2539,0,0,0,0,7591,0,0,3,0,0,0,0,12,1,0,0,2,489,95,0,357,0,7,0,141,265,2,0,9,1,1,0,1,522,6393,0,3,66,0,1,242,0,2,0,11,475,58,1,0,90,131,0,1,1,0,0,512,365,703,0,454,1,14,64,441,131,698,1,71,403,233,116,0
"Cluster_26572,contig_0 consensus mapping",135,114,135,114,211,154,134,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,1,0,0,0,0,0,0,672,648,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,6379,0,0,1,3,0,2,108,241,1,55,0,9417,0,179,152,53,1,772,3753,1,1,0,758,166,10,222,87,4,123,0,0,3,0,114,498,146,0,5,118,6,0,1,1464,875,11,762,118,1199,46,427,1,57110,190,487,232,634,1,2048,1,188,467,134
"Cluster_23926,contig_0 consensus mapping",119,126,119,126,222,176,131,190,220,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,505,0,0,1231,0,719,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,17,1,67,0,5,0,206,101,351,0,3,0,232,1,1,5,8887,1,1,149,1,1,1,0,0,2192,364,2,1,1,0,205,244,1,1,0,1,10,27,141,274,2,253,0,25,103,103,0,2,0,944,51,0,4,224
"Cluster_13586,contig_0 consensus mapping",123,99,123,99,193,116,89,145,408,0,0,2,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,3,0,0,474,0,0,0,0,0,0,4070,459,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,3428,0,0,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,2,8,2,364,123,4,698,1,4,3,287,165,6,3,12,26,1,1,0,959,5,4,385,0,0,3514,0,1,0,7,105,204,121,1,3,142,3,1,5,615,3,11,337,10,268,434,318,1245,11,32,0,4872,568,769,275,415,129,4,30
"Cluster_26120,contig_0 consensus mapping",126,136,126,136,173,137,123,160,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,2,0,2,0,311,0,1,0,0,0,1,0,0,0,0,1,0,0,3,0,1451,0,0,0,0,0,0,0,1,0,2696,0,0,0,0,0,2029,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2135,874,289,1,1,0,2,415,146,0,1,0,0,1,1731,0,0,0,0,0,182,0,0,1,1,0,1,415,0,7,3,1,2,1,0,2,0,0,1,0,6,50,799,60,1,9,48,120,108,0,0,14,75,126,240,126
"Cluster_248,contig_0 consensus mapping",102,110,102,110,207,155,117,130,0,0,0,0,0,2714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,197,0,0,0,0,0,0,0,609,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,3,0,0,7,0,0,0,0,4048,0,0,2886,0,0,0,0,0,338,1731,0,1,0,3,2,36,230,2,3,12,43,0,0,0,1,103,440,0,0,40,0,188,0,0,0,2,184,56,0,0,0,126,0,5,0,0,10,270,3,29,0,67,1406,1501,0,263,0,336,489,89,396,0,0,0
"Cluster_361,contig_0 consensus mapping",133,154,133,154,219,151,144,200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,0,0,0,8,0,0,0,0,0,0,0,4567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,350,0,643,3466,227,280,99,2,73,39,1,1546,2,2,1,2,442,186,1,2,383,1,0,2,234,4,118,0,1,246,82,0,0,1,161,10,602,78,101,1105,29,0,0,3,1,341,0,0,1,3,138,0,1
"Cluster_25739,contig_0 consensus mapping",179,161,179,161,304,195,159,203,1868,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,4104,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,223,1,0,0,2,0,0,0,0,0,0,768,0,0,0,2,0,63206,1,0,0,2,0,0,0,41,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,36,4,1,327,0,1314,1,2,3,69,89,2,1,340,1546,2,2,1,259,5,3,1,347,1,1,1,244,1,1,314,1414,116,1,1,0,40,0,0,807,2,26,347,122,517,0,268,104,38,150,331,452,732,692,2513,574,220,127,286
"Cluster_3940,contig_0 consensus mapping",150,150,150,150,202,153,119,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,0,47296,0,1,1,0,0,0,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2326,2,0,1,122,6,0,124,0,9,1,41,46,122,2,65,354,1033,1,1,384,8,0,4,56,8,0,0,1,3100,1,314,1,89,0,9,166,1,0,0,8,3,8,574,232,286,630,65,565,1213,142,233,93,561,1,3966,48,583,423,273
"Cluster_24354,contig_0 consensus mapping",114,132,114,132,198,161,128,193,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1998,0,0,0,0,0,350,3,2,1,3,142,1,147,0,0,3,1,178,333,2,241,1165,1,0,0,1,33,114,3,61,2,1,211,0,2,2,1,209,331,0,4,332,448,2,2,0,794,2,287,290,38,814,0,849,428,7,331,0,0,15,16,83,6,0,168
"Cluster_7001,contig_0 consensus mapping",145,110,145,110,213,149,123,164,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,1,0,0,0,1,0,1,0,0,0,1085,0,0,2,461,1,0,0,1,0,0,2453,0,0,0,0,0,0,0,1,1,2045,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,31806,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,1,3,1,3,1,194,0,5,1,2,144,153,0,23,69,2,1,1,1,4,0,312,155,0,2,256,83,0,2,2,1,158,0,0,386,3,0,0,0,0,6,105,7,629,555,444,62,37,213,373,293,543,40,1011,1,253,0,0
"Cluster_27033,contig_0 consensus mapping",125,154,125,154,214,158,125,206,0,0,1,0,0,1,0,0,0,0,0,6,0,11,0,0,0,0,0,0,1,0,20555,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,78,0,456,0,0,0,0,0,12,7,0,0,0,1264,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3643,4,2,1759,2,0,128,4,7,3,42,97,6,1,143,704,0,0,1,1,18,118,3,337,7,0,521,0,0,0,205,2,127,0,2,1095,350,0,0,82,4,3,245,20,32,0,551,984,1752,364,1,120,1,2,479,1517,365,57,4
"Cluster_4979,contig_0 consensus mapping",133,138,133,138,214,162,121,162,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,294,0,0,0,0,0,0,0,2,8335,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,181,1,0,0,0,106,528,0,0,0,1,0,2,0,706,1,0,1,0,0,1,0,0,0,1,700,1,319,0,1,98,2,0,0,0,0,1,1,0,89,16,19,0,38,175,283,83,410,0,37,254,295,0,250
"Cluster_9871,contig_0 consensus mapping",116,107,116,107,173,126,108,161,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1099,0,1,2,1251,289,1104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1257,0,0,531,0,0,0,0,0,0,0,1,0,0,289,24,0,19,0,22850,1,0,1,23,0,6,36,2,0,77,40,0,1,1,101,49,1,890,168,36036,0,383,0,11,0,215,1,115,0,20,137,0,1,1,17,20,12,336,153,16817,412,0,680,182,748,185,367,345,2,41,51,84,0,94
"Cluster_19748,contig_0 consensus mapping",147,134,147,134,225,164,153,168,0,10,0,2,1,0,4,0,0,2371,11007,0,14,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,7,1,0,1,0,0,0,4,7,618,0,8,1,0,0,0,0,2980,3,2,0,0,162,7,1034,0,0,1,1145,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,451,0,132,1,203,1,2,1,11,32,6,0,5,1,412,1,0,754,39,158,0,62,8,1315,1,0,7,2,3,611,1,1,10530,179,503,1,1,11,7,9,4,8,618,100,294,1,58,225,286,215,7,808,1805,885,6,298,70
"Cluster_29127,contig_0 consensus mapping",95,98,95,98,175,123,93,165,0,0,0,0,0,0,1,0,0,0,0,410,0,0,0,0,0,0,0,0,559,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,218,917,0,0,0,0,0,0,0,1,4678,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,7,16365,0,0,0,0,0,0,18,15,0,0,0,3,0,0,0,0,0,0,0,8,1353,0,0,0,0,0,0,6424,1,0,0,0,0,0,5,1,0,0,438,2,279,183,1,5,0,26,155,9,0,52,186,0,0,0,769,2,2,586,425,2,1,195,1,2,3,1163,1,315,0,1,178,130,4,0,875,1355,13,2,1,39,181,690,966,652,2,489,37,309,858,1040,437,12,8,1
"Cluster_11669,contig_0 consensus mapping",131,130,131,130,219,143,132,162,1,2,0,3561,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,2,0,0,0,1,0,0,0,1533,0,0,1,0,434,0,0,0,2,2,1,1,0,1,1,0,0,0,2,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,29480,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,4,0,1,3041,0,0,0,0,2,6,1923,225,0,523,2,0,1,17,318,482,2,0,4,0,0,0,0,55,303,1,131,0,1,404,0,0,2,1,1179,0,56,1,125,171,2,3,0,0,10,963,315,43,211,2,1830,57,354,183,5,372,4,32,158,12,346,65
"Cluster_4538,contig_0 consensus mapping",115,125,115,125,194,159,110,179,0,0,0,0,0,0,1,1,0,0,0,307,0,11441,0,0,0,0,0,0,0,0,929,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,7,0,13,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,677,290,0,0,0,0,0,0,0,0,2,1456,0,0,0,0,0,0,480,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,597,1,0,0,0,0,0,0,2,580,0,0,0,0,1,0,0,0,736,40,0,131,0,8,2,1,156,0,1,30,76,1,0,1,345,12085,0,2,187,1,0,417,0,1,2,10,176,1,0,0,139,176,1,3,162,397,12,257,4,353,58,1,1004,84,429,167,139,1,2,1079,22,0,38,0
"Cluster_7379,contig_0 consensus mapping",115,135,115,135,187,185,123,139,0,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,422,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,62284,2,0,0,0,1,0,0,8,0,0,0,507,0,0,0,239,0,0,0,1,0,0,115,4,2,1,0,10,306,207,0,10,1,162,165,32,0,45,199,2,1,0,338,11874,2,82,54,5,0,700,1,1,0,290,0,0,0,2,145,92,0,0,2928,0,7,2,2,155,464,1,0,99,455,548,70,701,0,67,430,175,157,160
"Cluster_8473,contig_0 consensus mapping",108,115,108,115,199,154,103,165,411,1,4,0,5,0,38,10,0,0,1,0,0,1,0,0,5,16,61449,3,1,32,0,8,0,21,8,0,0,0,1,6,0,47,3,0,0,0,0,0,0,7312,0,22,6,0,0,0,0,2,5,1,1,0,0,14866,0,43,7,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2043,4,4011,0,1013,0,2,1,3708,0,2,0,53,21,141,0,10,22,0,2,0,437,0,5,250,750,5,375,226,0,3,0,262,3,121,2,3,329,452,0,0,4,1056,0,4,0,41,0,2,0,51,295,1,153,6,0,96,469,1,10,9
"Cluster_12815,contig_0 consensus mapping",132,123,132,123,174,164,112,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,585,0,1,0,0,0,342,0,0,0,0,0,0,0,1,0,513,0,0,0,0,0,2,0,0,0,0,0,0,0,5023,1,1,1171,1,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3214,0,0,0,0,0,0,0,1,0,0,0,0,0,98,1,1,2,3,86,1,58,4,40,219,24,91,69,3,2,1,3,0,2,332,4,6,1,0,0,173,1,96,2,1,309,346,496,1,0,225,0,1,4,351,0,10,310,220,37,0,244,1169,65,354,809,0,2,924,1314,1291,599,0,101
"Cluster_21047,contig_0 consensus mapping",130,123,130,123,208,136,118,175,0,1,1,1,356,1,0,0,0,1793,0,0,2,0,0,0,0,0,0,1,2,0,0,0,7,0,0,0,0,0,1,0,4,0,0,0,1,887,0,2,140,0,4,0,0,0,2,1,0,0,0,3,1,4,0,0,7283,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1601,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,12099,13,0,0,0,0,0,0,13,5019,0,0,0,0,0,0,0,0,0,2,414,101,0,698,1,1,3,123,56,389,2,15,76,1,3,0,87,1,0,1,189,0,405,0,1,1,0,4,442,208,1,0,0,190,0,2,31,0,0,110,294,43,0,393,2,145,717,0,99,554,0,48,0,9,588,16
"Cluster_26923,contig_0 consensus mapping",120,115,120,115,199,140,112,139,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,424,0,1,0,0,0,0,0,1,0,2,0,0,0,0,718,1,3,0,0,0,0,0,0,0,0,566,1,0,0,0,2187,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1980,0,0,0,0,0,0,0,0,4,0,3,2,0,0,0,0,2,0,1,0,0,0,0,0,4,0,3,0,0,0,0,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,158,81,1,1,5,0,6,38,32,3,9,15,0,0,0,157,13,7,0,226,0,708,1,1,0,3,2,674,0,0,0,153,853,1,6,0,0,9,275,138,160,1407,7,1,4608,448,1,10,0,2463,607,306,310,21,101
