"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"S7177",241421,218,164.705882352941,15.8131049201336,245.666666666667,935.817569863626,408,2.39034623313939,2.61066016308988,1.66078697421981
"S7178",346392,44,6,2.72674416993015,45.2631578947368,1245.6812923167,2800,1.65574485029074,3.44715803134222,61.8604651162791
"S7179",121344,33,29.4736842105263,12.2484282910487,33.6842105263158,56.8313938174715,41,1.52742637303106,1.61278385671974,1.2171875
"S7180",90524,11,9,9.62811507913092,11,21.5291841027321,11,1.04139268515823,1.04139268515823,1
"S7181",52412,19,18,16.0336130422662,19,22.3240516907945,22,1.27875360095283,1.34242268082221,1.15789473684211
"S7182",74861,17,16,14.4438665800525,17,19.4210970623043,16,1.23044892137827,1.20411998265592,0.941176470588235
"S7183",223783,328,304.333333333333,61.459478932431,395.142857142857,651.568538102786,376,2.59675413575903,2.57518784492766,0.951554591467824
"S7184",144192,5,5,4.0143389163775,5,5.15406415836818,5,0.698970004336019,0.698970004336019,1
"S7189",224563,6,6,5.62571806030208,6,6.61925179960615,10,0.778151250383644,1,1.66666666666667
"S7190",117914,23,22.1052631578947,9.50264003845913,23.1578947368421,34.7170324284612,58,1.36469907553336,1.76342799356294,2.50454545454545
"S7191",134979,13,12,7.26700689517678,13,16.7174566497394,26,1.11394335230684,1.41497334797082,2
"S7192",340706,379,367.444444444444,239.05310224324,478,609.053985995882,456,2.67942789661212,2.65896484266443,0.95397489539749
"S7193",159567,13,11,4.4880228284343,13,33.3091447755931,73,1.11394335230684,1.86332286012046,5.61538461538461
"S7194",142995,8,8,4.23575886578576,8,8.54137454288807,8,0.903089986991944,0.903089986991944,1
"S7195",311152,32,31.5789473684211,34.0912708131748,32.6315789473684,35.1611941538196,39,1.51363808854543,1.5910646070265,1.19516129032258
"S7196",373042,442,423,208.590616884848,577,920.472135204783,496,2.76117581315573,2.6954816764902,0.859618717504333
"S7197",248455,521,545.5,322.983247077767,738.266666666667,875.804199800475,652,2.86821326012023,2.81424759573192,0.883149720065017
"S7198",276752,236,280.176470588235,173.047279116988,271,273.173151139257,236,2.43296929087441,2.37291200297011,0.870848708487085
"S7199",260301,32,27.3684210526316,2.38027124444155,32.6315789473684,58.8155004507297,45,1.51363808854543,1.65321251377534,1.37903225806452
"S7200",268247,18,17,9.65439514980548,18,19.5051366258376,18,1.25527250510331,1.25527250510331,1
"S7401",285622,8,8,6.47944262505189,8,8.36698191814706,8,0.903089986991944,0.903089986991944,1
"S7402",391467,13,13,12.7639960907799,13,13.5175445568809,13,1.11394335230684,1.11394335230684,1
"S7403",286057,85,76.4705882352941,32.0942514462874,90.5882352941177,120.429526690575,93,1.95707179945819,1.96848294855394,1.02662337662338
"S7404",353310,7,7,7.45066219633104,7,7.16376750130659,7,0.845098040014257,0.845098040014257,1
"S7405",339630,16,15,15.2812375941221,16,18.2629376207792,16,1.20411998265592,1.20411998265592,1
"S7406",406899,36,34.7368421052632,31.5077431765424,36.8421052631579,40.2884235645034,41,1.56634443906143,1.61278385671974,1.11285714285714
"S7407",178651,71,67.3684210526316,57.8720400689718,73.6842105263158,81.319154993263,74,1.86737443472541,1.86923171973098,1.00428571428571
"S7408",289588,7,7,3.09458305320894,7,10.4808666111577,14,0.845098040014257,1.14612803567824,2
"S7409",305333,17,16,17.7728460005445,17,19.2080192048332,16,1.23044892137827,1.20411998265592,0.941176470588235
"S7410",455397,41,40,43.445786884659,42,43.4554221793769,40,1.6232492903979,1.60205999132796,0.952380952380952
"S7411",355443,75,75.7894736842105,73.8761736432776,77.8947368421053,79.2444082348688,75,1.89150811444213,1.8750612633917,0.962837837837838
"S7412",380101,5,5,7.03291687102751,5,5.0480651846407,4,0.698970004336019,0.602059991327962,0.8
"S7413",248833,96,94.4444444444444,62.4380051042118,102.222222222222,119.062419122737,96,2.00954531790623,1.98227123303957,0.939130434782609
"S7414",389069,212,159,61.4988330274066,242.809523809524,646.843898934176,212,2.38526571723355,2.32633586092875,0.873112374975485
"S7415",228575,5,5,4.21853468600812,5,5.61172328274306,5,0.698970004336019,0.698970004336019,1
"S7416",270109,2,2,2.00538834782553,2,2.00573428485118,2,0.301029995663981,0.301029995663981,1
"S7417",163021,7,7,0.68740759349431,7,7.39085387532157,7,0.845098040014257,0.845098040014257,1
"S7418",268928,2,2,2.4547279736491,2,2.01307898413983,2,0.301029995663981,0.301029995663981,1
"L7028",207126,1,1,1.16953039651532,1,1,1,0,0,1
"L7032",147137,1,1,0.951445536173483,1,1,1,0,0,1
"L7034",168425,1,1,1.2139276130356,1,1,1,0,0,1
"L7037",228768,1,1,1.18194966546853,1,1,1,0,0,1
"S7028",380021,13,12,8.85716936831106,13,15.3899960051984,16,1.11394335230684,1.20411998265592,1.23076923076923
"S7029",155983,4,4,4.49399963261998,4,4.54608272904017,4,0.602059991327962,0.602059991327962,1
"S7030",316892,2,2,2.43168949128336,2,2.01808689653277,2,0.301029995663981,0.301029995663981,1
"S7031",346678,2,2,1.7641800839306,2,2.33705123137098,4,0.301029995663981,0.602059991327962,2
"S7032",261167,16,15,17.599399692742,16,16.9311974106665,16,1.20411998265592,1.20411998265592,1
"S7033",118022,1,1,1.16072121298164,1,1,1,0,0,1
"S7035",78564,11,10,6.080796402003,11,15.1924088877904,11,1.04139268515823,1.04139268515823,1
"S7036",130581,4,4,2.73700839335785,4,4.23297480216974,6,0.602059991327962,0.778151250383644,1.5
"S7037",225125,5,5,5.14357121355697,5,5.1038206407967,5,0.698970004336019,0.698970004336019,1
"U7027",67684,2,2,2.65379196501641,2,2.00004231396555,2,0.301029995663981,0.301029995663981,1
"U7028",150031,5,5,5.34326975304769,5,5.33361403826442,5,0.698970004336019,0.698970004336019,1
"U7029",192431,2,2,0.640385557333965,2,2.07777084955329,2,0.301029995663981,0.301029995663981,1
"U7030",241820,2,2,2.75373789820016,2,2.04211062773729,2,0.301029995663981,0.301029995663981,1
"U7031",253937,7,7,7.65243851286326,7,7.2476443598727,7,0.845098040014257,0.845098040014257,1
"U7032",196708,3,3,3.73913721916243,3,3.0588714356684,3,0.477121254719662,0.477121254719662,1
"U7033",337409,5,4,3.7551275571518,5,15.8354242493722,8,0.698970004336019,0.903089986991944,1.6
"U7034",304549,2,2,2.57197586008437,2,2.12384099813475,2,0.301029995663981,0.301029995663981,1
"U7035",153211,4,3,5.03478908057125,4,8.33316868827702,4,0.602059991327962,0.602059991327962,1
"U7036",263341,1,1,1.23512813345834,1,1,1,0,0,1
"L7039",134654,6,5,1.49066290495515,6,11.5646716933786,10,0.778151250383644,1,1.66666666666667
"L7040",209482,4,4,6.45566758243227,4,4.31607843943256,3,0.602059991327962,0.477121254719662,0.75
"L7041",270644,7,6,5.59344791440155,7,14.9153455022886,7,0.845098040014257,0.845098040014257,1
"L7042",296401,43,29.4736842105263,16.4862514780924,44.2105263157895,125.884943174835,296,1.64552568510905,2.47129171105894,6.6952380952381
"L7043",413961,12,11,7.15137732300024,12,20.8316487923812,46,1.07918124604762,1.66275783168157,3.83333333333333
"L7045",371297,5,5,1.44452348320065,5,7.56901650924043,1500000,0.698970004336019,6.17609125905568,3e+05
"L7046",177348,2,2,1.74725583242351,2,2.00204146580249,2,0.301029995663981,0.301029995663981,1
"L7048",276563,5,4,3.93091959403741,5,22.4753397751816,5,0.698970004336019,0.698970004336019,1
"S7039",150999,12,10,9.20200889985232,12,17.752374590343,12,1.07918124604762,1.07918124604762,1
"S7040",191308,20,18,10.9274083068566,20,25.58422477733,24,1.30102999566398,1.38021124171161,1.2
"S7041",278770,17,16,7.77688758998817,17,23.6306560729413,22,1.23044892137827,1.34242268082221,1.29411764705882
"S7042",327546,12,10,5.1019196508748,12,24.0598326824906,19,1.07918124604762,1.27875360095283,1.58333333333333
"S7043",304030,165,147.058823529412,111.86069832453,183,248.969094048919,168,2.26245108973043,2.22530928172586,0.918032786885246
"S7045",141609,7,6,3.05857061706454,7,15.167483721954,7,0.845098040014257,0.845098040014257,1
"S7046",165635,46,39,19.7195102178667,46.6666666666667,72.298667146383,68,1.66900678095858,1.83250891270624,1.45714285714286
"S7047",260622,165,98.8888888888889,21.9815096384968,181.266666666667,996.193213940966,182,2.25831794853182,2.26007138798507,1.00404560500184
"S7048",111473,3,3,1.50945455294587,3,3.00048497786195,3,0.477121254719662,0.477121254719662,1
"U7039",252194,28,28.4210526315789,30.2162716633474,28.4210526315789,30.3876725961692,28,1.45364015887014,1.44715803134222,0.985185185185185
"U7040",228039,4,4,3.37209085789336,4,4.63506614035221,4,0.602059991327962,0.602059991327962,1
"U7041",349938,73,60,52.2927869144149,75.7894736842105,118.211495826538,76,1.87960889114242,1.88081359228079,1.00277777777778
"U7042",212513,95,61.0526315789474,5.3637039502711,100,424.093213872125,205,2,2.31175386105575,2.05
"U7043",339868,74,58.8888888888889,40.7116933809365,77.7777777777778,155.29246109073,74,1.89085553057493,1.86923171973098,0.951428571428572
"U7045",181275,18,16,9.81235888367712,18,25.7357027343289,18,1.25527250510331,1.25527250510331,1
