"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35"
"X2OP",6.89279211710861,-8.50179141054944,8.65905311013179,-1.25725270191033,-4.99765050334014,5.78808725086996,-1.01744846631538,0.0312507703323237,0.0499384631316838,-0.103212369106291,0.00191140005044623,0.20795158872325,-0.352723989384375,0.328828420667939,-0.123940707213003,0.0156543276023022,-0.619282834071063,-0.131218063817637,-0.0061885152254329,-0.0143549252307756,9.63684126868e-05,-4.14509085075609e-05,-5.95832668140206e-06,-6.31065621971912e-06,2.21962388504169e-06,-3.04937971903072e-07,-3.22171741460925e-07,-1.06679014147154e-07,5.23107504194886e-08,1.34253288876576e-08,5.73480175077186e-08,-4.81004942271945e-08,-8.60245271568885e-09,5.462331015239e-09,4.68664820493792e-14
"X2SD",6.66552178985693,-7.98315530003713,9.22768765578912,0.40173238180151,4.06739609157981,-4.39411223835204,-4.41204368586201,-0.113349281770294,0.655072720329712,-3.35345876794996,0.00692038588225299,0.0810187954165563,-0.123023268176568,0.0751367228904928,-0.0374654951202305,0.0065231023973773,0.0192576907046469,-0.0234831612464622,-0.000316697693193645,-0.00114586491852369,3.1212937327296e-05,-6.20175948252494e-06,7.09932044250233e-07,9.24739961689924e-07,4.51506695885444e-07,-5.20543571289273e-07,1.73046151832234e-07,8.43738847934472e-09,1.68379434435087e-08,-1.29027120367121e-08,-3.13396999568983e-08,-1.2972483511009e-08,9.03250063584221e-11,1.22299327887099e-08,-3.19248750699219e-14
"X2SM",-9.09353955421122,0.483321534599962,2.75705643151447,0.847350449359335,-0.470923167364842,-0.663963872310201,-0.513144845815841,0.152034234009436,-0.152428166043134,0.373259873792057,0.00333882755706834,0.12262830079287,-0.2570790284887,0.396345080917178,1.06030732204757,-0.339623359344795,-0.00867428734978631,-0.0209132988770075,0.0290960545391833,0.0700419040523729,-0.000491046483856405,0.000119223769350458,-9.2912841631544e-06,6.51781119758295e-06,-1.26432404515353e-06,3.24323565901443e-06,-1.29850960344072e-07,-3.29920449675234e-07,-2.9497508621714e-07,3.84182523767776e-07,-1.34338386124686e-07,2.2534784813218e-07,1.04231281430416e-07,-3.29068024709377e-08,-1.05983337340618e-14
"X2SP",6.66689023725995,-7.87448464469478,8.85067159051343,0.176779483442895,0.412533606377131,-0.162192100393337,8.67377651962047,0.0197342566725816,0.27701518427623,-1.51570817877354,8.60531848956331e-05,0.0533086204424612,-0.0919464511369762,-0.0220423592686417,0.0484207030561156,-0.0144404730873454,0.0967819235689725,0.00183990756171479,0.00177861536859784,0.00449885655060938,-7.68882147446432e-05,2.09458471306293e-05,-1.64810517472996e-08,-6.49952894431465e-07,3.31967332736652e-07,7.00357786946951e-08,1.22594093758966e-07,-2.4101436855865e-08,-2.53374133686894e-08,1.6373512817607e-08,-1.13743710533604e-08,1.28135444496611e-08,3.95522151010565e-09,1.37020211648207e-09,-2.56032174628107e-14
"X3E",-9.84388392315341,1.85909608257443,1.04349511044098,1.19474965844178,-0.833307397124129,-0.484448178916664,0.0289967019159683,0.00622039614852267,-0.0686603594302184,-0.0703734763844315,0.000284440589248664,-0.174066826995185,0.0695751011032838,-0.0536759103166485,-0.0770687138167862,0.0265207096365299,-0.0164148749162721,-0.0130842445722142,-0.00250551490488352,-0.00210637968153888,-0.000631132640276682,-5.08675372340276e-05,-0.000106315575397742,0.000166183309818877,5.51447049029511e-05,-5.07275103362076e-05,6.26665775177673e-05,-2.56491240929951e-06,3.33185517886214e-05,-0.000116406360944009,8.73306011635252e-05,6.00263597803413e-05,-0.000140389915065441,6.7159071378999e-05,3.14401824887123e-14
"X3F5",-9.84555395484965,1.85613637103684,1.04240883098806,1.19436135350929,-0.832822259922174,-0.483971664290597,0.0291369843765954,0.00692394745369266,-0.0692201028073753,-0.0708331510267625,-0.000662542607716239,-0.174464396205534,0.0703695526595805,-0.0543773936633172,-0.0787054453147626,0.0262485830107974,-0.0166282072256546,-0.0134336340793489,-0.00144465017257213,-0.0022461763688905,-0.000965627811265343,0.000301200531360262,-0.000366355285539891,5.65942916899272e-05,-7.85721081900094e-05,-5.7406209621613e-05,-9.21432318382336e-05,9.36809583523084e-05,0.000415571945723276,0.000197649514209289,-0.000225436351836778,-7.15358232397133e-05,-4.09838184899985e-05,-3.59480866654377e-06,3.08260361681079e-14
"X3OD",-9.84549161241261,1.85558398468384,1.04224152346321,1.19403069081769,-0.833767879624079,-0.484639815374595,0.02914925682582,0.00715434749061808,-0.0688734444556946,-0.0705915728805807,-0.000318325482780058,-0.174473685969688,0.0701395688482685,-0.0542208635293381,-0.0785765258441007,0.0260697746886925,-0.0166656028927791,-0.0131558704944141,-0.00160551268358974,-0.00246894467946242,-0.00061405431913915,8.25788477269612e-05,-0.000461101911348418,0.000223153515513337,-0.000275028013235394,-0.000239225571720138,0.000482218899035274,-0.0004725526751524,-0.000219104651375968,0.0002645722688885,1.79045602692818e-06,9.95036555738026e-06,6.64488825309153e-06,5.87283464969232e-06,3.33839401435443e-14
"X3OP",-9.84515564225327,1.85420755121553,1.04055181034076,1.19369471329317,-0.835261324982716,-0.486430295460064,0.0288394906180549,0.0073485255762592,-0.0692519971425668,-0.0705405756451893,-2.56949603933938e-05,-0.173930117167314,0.0693018222624147,-0.0535390984180228,-0.0778578927283067,0.0258359991361076,-0.0163956335972384,-0.0128173393080444,-0.00153541261642306,-0.00272115889582657,-0.000896079815316682,0.000215809365884022,-0.000151319302511718,-0.000194941614017883,-3.65744836565148e-05,-7.17118891582176e-05,9.35415808136444e-05,-3.56250455765879e-05,0.000232047847252656,-0.000111653454996802,-4.50460385548153e-05,0.00024318765978879,8.65530218803197e-05,1.31222844393249e-05,2.95471654955526e-14
"X3SD",-9.84290181701847,1.86054325645609,1.04409370113737,1.19399429355189,-0.832899140798623,-0.484645478846729,0.0288825432378281,0.00562848650810752,-0.0686009531661705,-0.0703984302668353,6.2312378723079e-05,-0.173723370637807,0.0687710315352873,-0.053078998731379,-0.0768095288797695,0.0259811567163284,-0.0159406031826334,-0.0136926795931681,-0.00116354420107705,-0.00280217740463518,-0.00061983461347,0.000229724663144163,-0.000432793061500149,0.000111491834863092,-0.000159702626451523,-0.000110168008442712,0.000204881316538389,1.06958369456276e-05,2.46784314056284e-05,-0.000135099197656135,5.55247691838595e-05,2.67270555317406e-05,-5.9904399028252e-05,-0.000107952522374933,2.82321366805449e-14
"X3SM",-9.83172877044184,1.87992159960601,1.0434332272928,1.19339952163033,-0.831635485343178,-0.483727128273147,0.028636861479072,0.00789903015207246,-0.0699972013184158,-0.0674702591307248,-0.00266086775134479,-0.169682412498591,0.0641493554096612,-0.0481196581265053,-0.0689754355161598,0.0228447072984842,-0.0125759231071179,-0.0138618798802958,-0.00443568580137967,-0.00461112023417623,-0.000450375160398174,8.14929100806691e-05,-0.000167769429594463,-9.47603168271899e-05,-7.28801487524271e-06,-0.000446904453181976,0.000118608297629731,0.000149773121325858,0.000265739505226208,4.76376137421856e-05,0.000250985140216919,-0.000124630837682966,6.19998634338952e-05,1.30759079618325e-05,1.34234528874344e-14
