barcode,vc1,s61_vc12,s40_vc16,s41_vc16,s1_vc07,s10_vc07,s11_vc07,s12_vc07,s13_vc07,s14_vc07,s15_vc07,s16_vc07,s17_vc07,s18_vc07,s19_vc07,s2_vc07,s20_vc07,s21_vc07,s22_vc07,s23_vc07,s24_vc07,s25_vc07,s26_vc07,s27_vc07,s28_vc07,s29_vc07,s3_vc07,s30_vc07,s31_vc07,s32_vc07,s33_vc07,s34_vc07,s35_vc07,s36_vc07,s37_vc07,s38_vc07,s39_vc07,s4_vc07,s40_vc07,s41_vc07,s42_vc07,s43_vc07,s44_vc07,s45_vc07,s5_vc07,s6_vc07,s7_vc07,s8_vc07,s9_vc07,s58_vc09,s59_vc09,s60_vc09,s56_vc09,s57_vc09,s20_vc10,s21_vc10,s22_vc10,s23_vc10,s24_vc10,s25_vc10,s26_vc10,s27_vc10,s28_vc10,s29_vc10,s30_vc10,s31_vc10,s32_vc10,s33_vc10,s34_vc10,s35_vc10,s36_vc10,s37_vc10,s38_vc10,s39_vc10,s40_vc10,s41_vc10,s42_vc10,s43_vc10,s44_vc10,s45_vc10,s46_vc10,s47_vc10,s48_vc10,s49_vc10,s50_vc10,s51_vc10,s52_vc10,s53_vc10,s54_vc10,s55_vc10,s56_vc10,s57_vc10,s58_vc10,s59_vc10,s60_vc10,s61_vc10,s62_vc10,s63_vc10,s64_vc10,s22_vc11,s23_vc11,s24_vc11,s25_vc11,s26_vc11,s27_vc11,s28_vc11,s29_vc11,s30_vc11,s31_vc11,s32_vc11,s33_vc11,s34_vc11,s35_vc11,s36_vc11,s37_vc11,s38_vc11,s39_vc11,s40_vc11,s41_vc11,s42_vc11,s43_vc11,s44_vc11,s45_vc11,s46_vc11,s47_vc11,s48_vc11,s49_vc11,s50_vc11,s51_vc11,s52_vc11,s53_vc11,s54_vc11,s55_vc11,s56_vc11,s57_vc11,s58_vc11,s59_vc11,s60_vc11,s61_vc11,s62_vc11
lm124 mapping,452,4300,1039,0,0,11,0,41,0,11,12,0,0,12,0,10,50,0,6,15,0,12,41591,1,9984,0,1,1475,28917,1,0,1829,3,79,0,9,20,42,0,279,80,1,132324,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,0,0,0,0,5,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,11,0,0,2,0,0,0,0,0,0,0,5684,0
lm125 mapping,720,5186,2465,302,99,2,0,0,22871,0,0,0,197211,0,4,0,3,15,1,0,0,103,2,3,1,12,0,71,1,1,112,1,3,1,13,0,0,0,1,58,1,0,1,6,9,0,0,1,49,0,1196,2510,0,0,0,0,0,0,0,69,0,0,1,0,0,0,0,699,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,15,0,0,0,0,0,0,0,0,0,0,3585,0
lm126 mapping,249,1111,244,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2060,0
lm127 mapping,554,1527,759,2784,0,0,0,1,45,1,0,0,10,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,2,1,1,1,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,972,2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,25,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,2804,0
lm128 mapping,758,3320,2751,108,0,2,1,1,0,0,3,0,1,2,0,3,1,0,0,0,2,0,0,2,0,0,2,1,0,0,0,0,4,2,0,0,0,0,1,0,0,3,1,0,0,2,0,0,0,512,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,1,0,0,0,0,16,0,49,0,0,223,0,0,0,0,0,0,0,0,80,0,0,1,0,0,0,0,0,0,0,149,0,0,3069,0,4742,0,0,0,0,0,0,0,0,0,214,2,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,2801,0
lm129 mapping,402,2867,1678,1049,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,2,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,1173,994,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,94,0,0,3,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,4,0,73,292,0,0,155486,0,1439,2245
lm130 mapping,1078,8052,4128,164,1,1,1,1,0,15787,0,0,1,1,1,2,2,0,14,0,1,1,2,2,1,0,2,36,20,0,1,2,3,1,0,8,0,1,0,0,0,3,1,0,1,11,0,0,0,1379,1931,2635,0,0,0,0,0,0,0,0,0,0,447,0,0,0,0,567,0,0,3,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44474,0,0,0,0,0,0,5,0,5287,0,0,0,0,0,0,96,0,6,0,0,0,0,0,0,0,0,0,0,3339,0
lm131 mapping,690,4702,464,1436,0,0,1,0,0,0,4,0,0,0,1,0,3,0,0,7,2,2,1,4,1,0,2,0,11,0,0,0,5,1,0,0,12,0,1,0,1,1,1,0,0,0,4,1,0,1152,654,0,0,3,0,0,0,0,0,40,0,0,0,0,0,0,0,928,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,13,0,24,0,2172,0,97863,0,0,0,0,0,76289,6835,63
lm132 mapping,149,703,883,2050,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,10,0,0,0,0,0,0,0,0,0,0,781,0
lm133 mapping,1767,12693,1997,5006,2,0,4,1,0,0,1,0,46,3,3,1,2,0,0,1,2,1,2,5,5,0,5,25,64,3,5,4,8,5126,0,0,2,6,0,3647,462,1,13,0,0,0,0,0,1,1319,1690,1367,0,25531,0,0,0,0,0,0,1024,0,0,66,0,0,0,0,833,0,0,0,195,0,0,0,0,0,0,0,0,0,0,5,0,0,6188,0,0,0,0,0,0,0,0,0,0,2,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,15,0,6,0,0,1,0,147,0,0,0,0,0,5908,0
