"","Reference","Comparison","GD Value"
"355",vc4,s29_vc5,0.900316316157106
"356",vc4,s30_vc5,0.898539390730097
"357",vc4,s31_vc5,0.900316316157106
"358",vc4,s32_vc5,0.898660688531705
"359",vc4,s33_vc5,0.900316316157106
"360",vc4,s34_vc5,0.825583868565951
"361",vc5,vc1,0.862320822976398
"362",vc5,vc2,0.854122941528031
"363",vc5,vc3,0.37766156136063
"364",vc5,vc4,0.53881643050204
"365",vc5,vc5,0
"366",vc5,vc6,0.499921206253788
"367",vc5,vc7,0.632145127106474
"368",vc5,vc8,0.632145127106474
"369",vc5,vc9,0.632145127106474
"370",vc5,vc10,0.517916779167951
"371",vc5,vc11,0.900316316157106
"372",vc5,vc12,0.661887163043486
"373",vc5,vc13,0.900316316157106
"374",vc5,vc14,0.900316316157106
"375",vc5,vc15,0.900316316157106
"376",vc5,vc16,0.900316316157106
"377",vc5,vc17,0.900316316157106
"378",vc5,vc18,0.900316316157106
"379",vc5,vc19,0.900316316157106
"380",vc5,vc20,0.897889716167904
"381",vc5,vc21,0.900316316157106
"382",vc5,vc22,0.900316316157106
"383",vc5,vc23,0.900316316157106
"384",vc5,vc24,0.900316316157106
"385",vc5,vc25,0.900316316157106
"386",vc5,vc26,0.900316316157106
"387",vc5,vc27,0.900316316157106
"388",vc5,vc28,0.900316316157106
"389",vc5,vc29,0.900316316157106
"390",vc5,vc30,0.900316316157106
"391",vc5,vc31,0.900316316157106
"392",vc5,vc32,0.900316316157106
"393",vc5,vc33,0.900316316157106
"394",vc5,vc34,0.900316316157106
"395",vc5,vc35,0.900316316157106
"396",vc5,vc36,0.900316316157106
"397",vc5,vc37,0.900316316157106
"398",vc5,vc38,0.900316316157106
"399",vc5,vc39,0.900316316157106
"400",vc5,vc40,0.900316316157106
"401",vc5,vc41,0.900316316157106
"402",vc5,vc42,0.900316316157106
"403",vc5,vc43,0.894137619773366
"404",vc5,vc44,0.889997966315107
"405",vc5,vc45,0.889598548023335
"406",vc5,vc46,0.900316316157106
"407",vc5,vc47,0.900316316157106
"408",vc5,vc48,0.889325982620346
"409",vc5,vc49,0.900316316157106
"410",vc5,vc50,0.900316316157106
"411",vc5,vc51,0.900316316157106
"412",vc5,vc52,0.893534115429576
"413",vc5,vc53,0.900316316157106
"414",vc5,vc54,0.900316316157106
"415",vc5,vc55,0.900316316157106
"416",vc5,vc56,0.900316316157106
"417",vc5,s1_vc5,0.900316316157106
"418",vc5,s2_vc5,0.900316316157106
"419",vc5,s3_vc5,0.900316316157106
"420",vc5,s4_vc5,0.900316316157106
"421",vc5,s5_vc5,0.900316316157106
"422",vc5,s6_vc5,0.900316316157106
"423",vc5,s7_vc5,0.900316316157106
"424",vc5,s8_vc5,0.900316316157106
"425",vc5,s9_vc5,0.900316316157106
"426",vc5,s10_vc5,0.900316316157106
"427",vc5,s11_vc5,0.900316316157106
"428",vc5,s12_vc5,0.900316316157106
"429",vc5,s13_vc5,0.900316316157106
"430",vc5,s14_vc5,0.900316316157106
"431",vc5,s15_vc5,0.900316316157106
"432",vc5,s16_vc5,0.900316316157106
"433",vc5,s17_vc5,0.900316316157106
"434",vc5,s18_vc5,0.900316316157106
"435",vc5,s19_vc5,0.900316316157106
"436",vc5,s20_vc5,0.900316316157106
"437",vc5,s21_vc5,0.900316316157106
"438",vc5,s22_vc5,0.900316316157106
"439",vc5,s23_vc5,0.900316316157106
"440",vc5,s24_vc5,0.900316316157106
"441",vc5,s25_vc5,0.900316316157106
"442",vc5,s26_vc5,0.900316316157106
"443",vc5,s27_vc5,0.900316316157106
"444",vc5,s28_vc5,0.900316316157106
"445",vc5,s29_vc5,0.900316316157106
"446",vc5,s30_vc5,0.900316316157106
"447",vc5,s31_vc5,0.900316316157106
"448",vc5,s32_vc5,0.900316316157106
"449",vc5,s33_vc5,0.900316316157106
"450",vc5,s34_vc5,0.863864391162899
"451",vc6,vc1,0.860342326675112
"452",vc6,vc2,0.849739285875198
"453",vc6,vc3,0.494452479028497
"454",vc6,vc4,0.258525838366688
"455",vc6,vc5,0.499921206253788
"456",vc6,vc6,0
"457",vc6,vc7,0.900316316157106
"458",vc6,vc8,0.900316316157106
"459",vc6,vc9,0.900316316157106
"460",vc6,vc10,0.600400945084067
"461",vc6,vc11,0.900316316157106
"462",vc6,vc12,0.53341617053995
"463",vc6,vc13,0.688738396149579
"464",vc6,vc14,0.853185309224619
"465",vc6,vc15,0.900316316157106
"466",vc6,vc16,0.900316316157106
"467",vc6,vc17,0.900316316157106
"468",vc6,vc18,0.900316316157106
"469",vc6,vc19,0.900316316157106
"470",vc6,vc20,0.8926536749344
"471",vc6,vc21,0.900316316157106
"472",vc6,vc22,0.900316316157106
"473",vc6,vc23,0.900316316157106
"474",vc6,vc24,0.900316316157106
"475",vc6,vc25,0.900316316157106
"476",vc6,vc26,0.900316316157106
"477",vc6,vc27,0.900316316157106
"478",vc6,vc28,0.900316316157106
"479",vc6,vc29,0.900316316157106
"480",vc6,vc30,0.900316316157106
"481",vc6,vc31,0.900316316157106
"482",vc6,vc32,0.900316316157106
"483",vc6,vc33,0.900316316157106
"484",vc6,vc34,0.900316316157106
