barcode,I1,I2,I3,1F0,1F3,1F4,1F5,2F0,2F1,2F2,2F3,2F4,2F5,3F0,3F1,3F2,3F3,3F4,3F5,4F0,4F1,4F2,4F3,4F4,4F5,5F0,5F1,5F2,5F3,5F4,5F5,C8
"Cluster_12771,contig_0 consensus mapping",610,741,619,634,0,0,0,582,174,0,0,0,0,892,0,1,0,0,0,1160,0,0,0,0,0,941,0,1,0,0,0,0
"Cluster_4973,contig_0 consensus mapping",488,557,460,595,17345,658,318,414,179,4,2,4,0,686,11,4,0,2,0,779,13907,19065,5753,621,918,965,2,8,2,0,0,0
"Cluster_9643,contig_0 consensus mapping",662,690,629,746,0,0,0,494,173,0,0,0,0,1717,0,0,0,0,0,1012,0,0,0,0,0,1018,0,0,0,0,0,0
"Cluster_4060,contig_0 consensus mapping",337,464,385,498,500,4,49,327,94,3,1,2,1,515,19,6,1,0,1,632,3,26,2,2,1,766,15429,21018,7451,5657,6516,1
"Cluster_8222,contig_0 consensus mapping",368,411,343,366,0,0,0,339,73,0,0,0,0,572,0,0,0,0,0,558,0,0,0,0,0,638,2,0,0,0,0,0
"Cluster_9475,contig_0 consensus mapping",504,674,466,643,0,0,0,509,149,0,0,0,0,683,0,0,0,0,0,977,0,0,0,0,0,994,0,0,0,0,0,0
"Cluster_7159,contig_0 consensus mapping",736,886,714,979,15628,56264,34412,647,180,10,41,168,13,801,147471,136561,150184,133966,81110,1421,10,29,48,21,30,1384,34,42,78,14,99,15
"Cluster_1086,contig_0 consensus mapping",428,493,377,494,0,0,0,315,164,0,0,0,0,518,2,0,0,0,0,595,0,0,0,0,0,681,0,0,0,0,0,0
"Cluster_159,contig_0 consensus mapping",388,512,418,555,7282,2066,669,340,185,1461,6533,18319,8212,734,12,0,0,15,1,759,0,0,1,1,2,730,6,1,1,1,5,0
"Cluster_928,contig_0 consensus mapping",301,340,274,306,0,0,0,208,14,0,0,0,0,424,0,0,0,0,0,452,1,0,0,0,0,482,0,0,0,0,0,0
"Cluster_11971,contig_0 consensus mapping",386,413,358,395,0,0,0,294,114,0,0,0,0,457,0,0,0,0,0,638,0,0,0,0,0,611,1,0,0,0,0,0
"Cluster_8129,contig_0 consensus mapping",468,595,442,479,0,0,0,381,96,0,0,0,0,546,0,0,0,0,0,741,0,0,0,0,0,772,0,0,0,0,0,0
"Cluster_4448,contig_0 consensus mapping",351,393,285,365,0,1,0,237,93,0,0,0,0,413,0,0,0,0,0,478,6,0,0,0,0,579,0,0,0,0,0,0
"Cluster_8433,contig_0 consensus mapping",657,773,593,665,0,0,0,476,191,0,0,0,0,641,0,1,0,0,0,839,0,0,0,0,0,996,0,0,0,0,0,0
"Cluster_12528,contig_0 consensus mapping",256,263,245,323,0,0,0,264,38,0,0,0,0,415,0,0,0,0,0,453,0,0,0,0,0,465,3,0,0,0,0,0
"Cluster_146,contig_0 consensus mapping",318,424,308,386,0,0,2,326,70,108,34,5,21,389,0,0,0,0,0,513,0,0,0,0,0,609,11,0,0,0,0,0
"Cluster_143,contig_0 consensus mapping",822,973,664,792,0,3,0,656,313,0,0,0,0,947,3,0,0,0,0,1312,0,0,0,0,0,1433,0,0,0,0,0,0
"Cluster_7581,contig_0 consensus mapping",744,794,624,667,0,0,0,610,208,0,0,0,0,834,0,0,0,0,0,1148,27,0,0,0,0,1201,0,0,0,0,0,0
"Cluster_1792,contig_0 consensus mapping",194,239,208,259,7,20366,252,201,72,5692,10223,25070,11417,475,14,0,1,15,0,305,0,2,7,4,9,301,0,0,9,1,29,0
"Cluster_5124,contig_0 consensus mapping",615,675,566,746,0,0,0,510,120,0,0,0,0,733,0,0,0,0,0,1028,0,0,0,0,0,1039,0,0,0,0,0,0
"Cluster_14111,contig_0 consensus mapping",270,397,290,344,0,0,1,218,85,62,190,12,19,510,0,0,0,1,0,500,0,0,0,0,0,516,5,0,0,0,0,0
"Cluster_1034,contig_0 consensus mapping",538,609,550,598,2,0,0,512,13,0,0,0,0,939,0,0,0,0,0,910,18,0,0,0,0,896,0,0,0,0,0,0
"Cluster_4925,contig_0 consensus mapping",371,444,377,468,2,0,0,379,188,0,0,0,0,509,840,0,0,0,0,620,0,0,0,0,0,696,28,0,0,0,0,0
"Cluster_12714,contig_0 consensus mapping",812,822,799,967,0,0,0,671,141,0,0,0,0,1122,0,0,0,0,0,1306,0,0,0,0,0,1284,0,0,0,0,0,0
"Cluster_2073,contig_0 consensus mapping",469,575,400,559,0,0,0,439,288,0,0,0,0,554,8,0,0,0,0,693,0,1,0,0,0,847,0,0,0,0,0,0
"Cluster_994,contig_0 consensus mapping",379,537,333,495,0,0,0,374,134,0,0,0,0,393,0,1,0,0,0,678,7,0,0,0,0,625,1,1,0,0,0,0
"Cluster_9214,contig_0 consensus mapping",863,1018,853,1023,0,0,0,762,99,0,0,0,0,1396,0,0,0,0,0,1364,0,0,0,0,0,1331,10,0,0,0,0,0
"Cluster_8799,contig_0 consensus mapping",356,451,389,464,0,0,0,358,89,0,0,0,0,564,0,0,0,0,0,637,0,0,0,0,0,594,0,0,0,0,0,0
"Cluster_5394,contig_0 consensus mapping",238,273,218,281,0,0,0,211,77,0,0,0,0,304,1,0,0,0,0,357,0,0,0,0,0,344,2,0,0,0,0,0
"Cluster_15036,contig_0 consensus mapping",272,331,278,378,0,0,0,290,98,0,0,0,0,416,0,0,0,0,0,472,0,1,0,0,0,509,0,0,0,0,0,0
"Cluster_160,contig_0 consensus mapping",185,185,163,205,0,0,0,113,51,0,0,0,0,555,0,0,0,0,0,278,0,0,0,0,0,287,4,0,0,0,0,0
"Cluster_11319,contig_0 consensus mapping",267,367,305,403,0,0,0,308,98,0,0,0,0,453,0,0,0,0,0,488,10,0,0,0,0,600,0,0,0,0,0,0
"Cluster_3857,contig_0 consensus mapping",663,806,517,777,0,0,0,649,110,0,0,0,0,917,0,0,0,0,0,1175,0,0,0,0,0,1069,0,0,0,0,0,0
"Cluster_6511,contig_0 consensus mapping",399,407,322,378,0,0,0,286,220,0,9,0,0,485,0,0,0,0,0,654,0,0,0,0,0,614,0,0,0,0,0,0
"Cluster_3174,contig_0 consensus mapping",537,562,578,661,2,0,0,515,34,0,0,0,0,591,2,0,0,0,0,874,19,0,0,0,0,902,0,0,0,0,0,1
"Cluster_6788,contig_0 consensus mapping",696,864,678,909,0,0,0,686,125,0,0,0,0,963,0,0,0,0,0,1177,0,0,0,0,0,1134,0,0,0,0,0,0
"Cluster_11625,contig_0 consensus mapping",275,271,293,271,0,0,0,236,78,0,0,0,0,361,0,0,0,0,0,405,0,0,0,0,0,398,0,0,0,0,0,0
