"","s25_ch06","s38_ch06","s61_ch06","s26_ch06","s39_ch06","s62_ch06","s50_ch06","s27_ch06","s40_ch06","s63_ch06","s51_ch06","s73_ch07","s83_ch07","s103_ch07","s93_ch07","s74_ch07","s84_ch07","s104_ch07","s94_ch07","s75_ch07","s85_ch07","s105_ch07","s95_ch07","s35_ch06","s47_ch06","s70_ch07","s58_ch06","s36_ch06","s48_ch06","s71_ch07","s59_ch06","s37_ch06","s49_ch06","s72_ch07","s60_ch06","s81_ch07","s91_ch07","s111_ch07","s101_ch07","s82_ch07","s92_ch07","s112_ch07","s102_ch07"
"s58_ch06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,44,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s36_ch06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s48_ch06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,86,1,0,0,0,0,0,0,0,0,0,0,0,0
"s71_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,176,3,0,0,0,0,0,0,0,0,0,0,0,0
"s59_ch06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0
"s37_ch06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20786,0,0,0,0,0,0,0,0,0,0,0
"s49_ch06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,15,1,0,0,0,0,0,0,0,0
"s72_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,192,1,0,0,0,0,0,0,0,0
"s60_ch06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"s81_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26355,0,0,0,0,0,0,0
"s91_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,38,13,0,0,0,0
"s111_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,107,14,0,0,0,0
"s101_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,48,0,0,0,0
"s82_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26690,0,0,974
"s92_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,14
"s112_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0
"s102_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974,14,0,4996
