"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"s50_vc15",383133,14,12.1111111111111,3.81544614341278,15.4444444444444,38.111876693743,92,1.18877229081477,1.96378782734556,5.9568345323741
"s51_vc15",225324,5,4.33333333333333,2.62709601141803,5.44444444444444,9.20220791874526,39,0.735953570589189,1.5910646070265,7.16326530612245
"s52_vc15",210844,5,4.52941176470588,4.24357530078624,5.70588235294118,10.9884853132417,59,0.756322812887971,1.77085201164214,10.340206185567
"s53_vc15",606103,14,15.4444444444444,3.40004122078714,15.4444444444444,36.454410042892,34000,1.18877229081477,4.53147891704226,2201.43884892086
"s54_vc15",821959,48,24.5294117647059,8.58138164621264,59.4615384615385,385.989647846436,86000,1.77423614161149,4.93449845124357,1446.31306597671
"s55_vc15",871239,29,12.1111111111111,5.9743957217718,32.1111111111111,286.425139433018,42000,1.50665533331722,4.6232492903979,1307.95847750865
"s56_vc15",768093,21,15.4444444444444,4.94891269393666,23.5,72.8390123210002,66000,1.37106786227174,4.81954393554187,2808.51063829787
"s57_vc15",1105255,38,25,3.46025525885023,46.3333333333333,188.930808297701,24000,1.66589354553443,4.38021124171161,517.985611510791
"s58_vc15",1299782,64,37.25,9.71132776691534,87,414.435705296855,10000,1.93951925261862,4,114.942528735632
"s59_vc15",1039261,56,44.75,20.5122243701222,70.0909090909091,174.619071172442,3800,1.84566169289273,3.57978359661681,54.2153047989624
"s6_vc15",974856,46,21,12.9034497879793,55.6666666666667,359.058142012289,8400,1.74559521642792,3.92427928606188,150.898203592814
"s60_vc15",1012020,46,18.8947368421053,9.14482525011176,56.3846153846154,622.497738918477,3000,1.75116062233429,3.47712125471966,53.206002728513
"s61_vc15",1020568,46,27.6666666666667,11.5034430088726,57,237.204777314172,4000,1.75587485567249,3.60205999132796,70.1754385964912
"s62_vc15",812356,48,21,12.2201307989577,58.3333333333333,464.888305649661,3000,1.76591679396663,3.47712125471966,51.4285714285714
"s63_vc15",519567,1,1,0.338064973724675,1,1,1,0,0,1
"s64_vc15",124879,1,1,1.63649371939725,1,1,1,0,0,1
"s7_vc15",394172,19,7.66666666666667,1.41156121717257,21,172.315417160699,1200,1.32221929473392,3.07918124604762,57.1428571428571
"s8_vc15",388869,43,34.3333333333333,13.9505758461896,52.25,117.557357476045,800,1.71808629478309,2.90308998699194,15.311004784689
"s9_vc15",785830,108,97.3636363636364,40.1635480754814,194.333333333333,333.257454871066,6200,2.28854730003935,3.79239168949825,31.9039451114923
"s1_vc17",650360,7,7.31578947368421,9.04063927895369,7.31578947368421,8.10663454316869,12000,0.864261199301266,4.07918124604763,1640.28776978417
"s10_vc17",486536,4,4.15789473684211,6.29949843319549,4.15789473684211,4.28672000368401,32,0.618873490337613,1.50514997831991,7.69620253164557
"s11_vc17",241131,50,52.7647058823529,31.4205084244554,61,68.1217718955015,1600,1.78532983501077,3.20411998265592,26.2295081967213
"s12_vc17",515025,10,10.4736842105263,5.78060328830182,10.4736842105263,11.3279798233046,2200,1.02009947545688,3.34242268082221,210.050251256281
"s13_vc17",467886,3,254,188.918313328193,3.10526315789474,3.01749651078254,3,0.492098410689315,0.477121254719662,0.966101694915254
"s14_vc17",217374,1,11,5.68885953394792,1,1,1,0,0,1
"s15_vc17",436949,11,12.1111111111111,10.4823288649819,12.1111111111111,14.1491923178535,1200,1.0831839885013,3.07918124604762,99.0825688073395
