barcode,1F0,1F3,1F4,1F5,1OD,1OP,1SD,1SM,1SP,2E,2F0,2F1,2F2,2F3,2F4,2F5,2OD,2OP,2SD,2SM,2SP,3E,3F0,3F1,3F2,3F3,3F4,3F5,3OD,3OP,3SD,3SM,3SP,4E,4F0,4F1,4F2,4F3,4F4,4F5,4OD,4OP,4SD,4SM,4SP,5E,5F0,5F1,5F2,5F3,5F4,5F5,5OD,5OP,5SD,5SM,5SP,C8
"Cluster_146,contig_0 consensus mapping",386,0,0,2,0,0,0,0,0,327,326,70,108,34,5,21,12,968,0,28,0,0,389,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,609,11,0,0,0,0,0,1,0,0,0,0
"Cluster_143,contig_0 consensus mapping",792,0,3,0,0,0,0,0,0,0,656,313,0,0,0,0,0,0,0,0,0,0,947,3,0,0,0,0,0,0,0,0,0,0,1312,0,0,0,0,0,0,0,0,0,0,0,1433,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7581,contig_0 consensus mapping",667,0,0,0,0,0,0,0,0,0,610,208,0,0,0,0,0,0,0,0,0,0,834,0,0,0,0,0,0,0,0,0,0,0,1148,27,0,0,0,0,0,0,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0
"Cluster_1792,contig_0 consensus mapping",259,7,20366,252,197,206,1,2,0,2038,201,72,5692,10223,25070,11417,10953,3414,22775,5109,5761,5,475,14,0,1,15,0,1,4,7,4,0,9,305,0,2,7,4,9,2,140,18,8,0,15,301,0,0,9,1,29,1,16,7,19,0,0
"Cluster_5124,contig_0 consensus mapping",746,0,0,0,0,0,0,0,0,0,510,120,0,0,0,0,0,0,0,0,0,0,733,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,1039,0,0,0,0,0,0,0,0,0,0,0
"Cluster_14111,contig_0 consensus mapping",344,0,0,1,0,0,0,0,0,224,218,85,62,190,12,19,5,593,0,0,0,0,510,0,0,0,1,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,8,0,0,0,516,5,0,0,0,0,0,0,0,0,0,0
"Cluster_1034,contig_0 consensus mapping",598,2,0,0,0,0,0,0,0,0,512,13,0,0,0,0,0,0,0,0,0,0,939,0,0,0,0,0,0,0,0,0,0,0,910,18,0,0,0,0,1,0,0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4925,contig_0 consensus mapping",468,2,0,0,0,0,0,0,0,0,379,188,0,0,0,0,0,0,0,0,0,0,509,840,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,696,28,0,0,0,0,0,0,0,0,0,0
"Cluster_12714,contig_0 consensus mapping",967,0,0,0,0,0,0,0,0,0,671,141,0,0,0,0,0,0,0,0,0,1,1122,0,0,0,0,0,0,0,0,0,0,0,1306,0,0,0,0,0,0,0,0,0,0,0,1284,0,0,0,0,0,0,0,0,0,0,0
"Cluster_2073,contig_0 consensus mapping",559,0,0,0,0,0,0,0,0,0,439,288,0,0,0,0,0,0,0,0,0,0,554,8,0,0,0,0,0,0,0,0,0,0,693,0,1,0,0,0,0,0,12,0,0,0,847,0,0,0,0,0,0,0,2,0,0,0
