barcode,1F0,1F3,1F4,1F5,1OD,1OP,1SD,1SM,1SP,2E,2F0,2F1,2F2,2F3,2F4,2F5,2OD,2OP,2SD,2SM,2SP,3E,3F0,3F1,3F2,3F3,3F4,3F5,3OD,3OP,3SD,3SM,3SP,4E,4F0,4F1,4F2,4F3,4F4,4F5,4OD,4OP,4SD,4SM,4SP,5E,5F0,5F1,5F2,5F3,5F4,5F5,5OD,5OP,5SD,5SM,5SP,C8
"Cluster_300,contig_0 consensus mapping",259,8239,1772,9,6,17,0,0,0,3,151,30,0,0,0,0,1,2,3,3,0,0,279,10,1,1,1,0,1,7,0,0,0,4207,227,5064,5858,4322,1338,920,1036,4426,7,2,0,1,296,1,8,1,0,1,0,5,1,0,0,0
"Cluster_15216,contig_0 consensus mapping",199,0,0,1,0,0,0,0,0,0,151,62,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0
"Cluster_10127,contig_0 consensus mapping",439,0,0,0,0,0,0,0,0,0,390,138,0,0,0,0,0,0,0,0,0,0,541,7,0,0,0,0,0,0,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,779,0,0,0,0,0,0,0,0,0,0,0
"Cluster_13422,contig_0 consensus mapping",305,4,1,51,46,38,1,0,0,0,272,194,5,4,2,1,2,2,25,0,2,9,643,3,5,1,2,1,0,0,15,10,0,3,513,0,22,0,1,0,0,53,1,0,0,15390,496,5025,22946,19351,788,2191,664,5419,9205,274,711,0
"Cluster_8295,contig_0 consensus mapping",320,0,0,0,0,0,0,0,0,0,237,96,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0
"Cluster_15977,contig_0 consensus mapping",273,0,0,0,0,0,0,0,0,0,186,47,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,1,7,0,0,327,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4615,contig_0 consensus mapping",136,0,0,0,0,0,0,0,0,0,93,48,0,0,0,0,0,0,0,0,0,0,225,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0
"Cluster_5036,contig_0 consensus mapping",236,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7530,contig_0 consensus mapping",294,0,0,0,0,0,0,0,0,0,243,110,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,1,0,0,0
"Cluster_6627,contig_0 consensus mapping",229,0,0,0,0,0,0,0,0,0,119,17,0,0,0,0,0,0,0,0,0,0,195,2,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12366,contig_0 consensus mapping",188,0,0,1,5,1,0,0,0,1816,149,1174,1601,1040,50,119,42,3287,1,32,0,0,224,0,2,0,0,0,1,0,0,0,0,1,275,0,0,0,0,0,0,1,0,0,0,0,245,0,0,2,0,0,0,1,1,0,0,0
"Cluster_15268,contig_0 consensus mapping",187,0,0,0,0,1,0,0,0,35,164,1504,502,176,9,0,0,81,0,0,0,0,279,1,2,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,5,0,0,0,0
"Cluster_11745,contig_0 consensus mapping",234,0,0,0,0,0,0,0,0,0,153,92,0,0,0,0,0,0,0,0,0,0,263,1,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0
"Cluster_2333,contig_0 consensus mapping",201,0,0,0,0,0,0,0,0,0,202,39,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,1,0
"Cluster_10399,contig_0 consensus mapping",221,0,0,0,0,0,0,0,0,0,172,71,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0
"Cluster_6022,contig_0 consensus mapping",244,0,0,0,0,0,0,0,0,0,183,33,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4706,contig_0 consensus mapping",157,0,0,0,0,1,0,0,0,67,105,293,223,136,0,4,4,157,0,0,0,0,155,0,1,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0
"Cluster_10943,contig_0 consensus mapping",156,0,0,0,0,0,0,0,0,0,120,4,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7691,contig_0 consensus mapping",128,1,0,1,7,3,0,0,0,810,103,312,821,1267,938,392,517,1919,313,38,724,0,160,3,0,0,1,0,2,0,0,0,0,0,167,0,1,0,0,0,1,4,4,0,0,0,227,0,0,0,0,0,2,0,1,2,0,0
"Cluster_8381,contig_0 consensus mapping",122,0,0,0,0,0,0,0,0,0,84,26,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0
"Cluster_6126,contig_0 consensus mapping",273,0,0,0,0,0,0,0,0,149,258,33,38,63,3,7,2,356,0,0,0,0,418,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0
"Cluster_358,contig_0 consensus mapping",154,0,0,0,0,0,0,0,0,0,138,74,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0
"Cluster_6337,contig_0 consensus mapping",236,0,0,0,0,0,0,0,0,0,177,24,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,305,0,1,0,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0
"Cluster_3560,contig_0 consensus mapping",242,0,0,0,0,0,0,0,0,0,184,67,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11394,contig_0 consensus mapping",115,0,0,0,0,0,0,0,0,0,115,47,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11415,contig_0 consensus mapping",69,0,0,0,0,0,0,0,0,0,45,6,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0
"Cluster_271,contig_0 consensus mapping",121,0,0,0,0,0,0,0,0,0,96,49,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,174,4,0,0,0,0,0,0,0,0,0,0
"Cluster_15406,contig_0 consensus mapping",108,0,0,0,0,0,0,0,0,0,115,44,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9100,contig_0 consensus mapping",126,0,0,0,0,0,0,0,0,0,114,5,0,0,0,0,0,0,21,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,1,6143
"Cluster_11214,contig_0 consensus mapping",134,0,0,0,0,0,0,0,0,0,104,11,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,2,0,202,0,0,0,0,0,0,0,0,0,0,9551
"Cluster_10286,contig_0 consensus mapping",161,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0
"Cluster_13450,contig_0 consensus mapping",219,0,0,0,0,0,0,0,0,0,213,42,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,394,8,0,0,0,0,0,0,0,0,0,0,354,0,0,0,1,0,0,0,0,0,0,0
"Cluster_3458,contig_0 consensus mapping",233,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,277,4,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7325,contig_0 consensus mapping",95,0,0,0,0,0,0,0,0,0,70,10,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0
"Cluster_2992,contig_0 consensus mapping",278,0,0,0,0,0,0,0,0,0,199,25,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,473,1,0,0,0,0,0,0,0,0,0,0
"Cluster_4188,contig_0 consensus mapping",111,0,0,0,0,0,0,0,0,0,114,58,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0
"Cluster_5608,contig_0 consensus mapping",177,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0
"Cluster_95,contig_0 consensus mapping",108,0,0,0,0,0,0,0,0,0,91,23,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0
"Cluster_127,contig_0 consensus mapping",109,0,0,0,0,0,0,0,0,0,91,9,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4121,contig_0 consensus mapping",159,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,202,13,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9973,contig_0 consensus mapping",220,0,0,0,0,0,0,0,0,0,196,66,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0
"Cluster_14993,contig_0 consensus mapping",81,0,0,0,0,0,0,0,0,0,68,8,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0
"Cluster_15531,contig_0 consensus mapping",91,0,0,0,0,0,0,0,0,0,77,7,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11084,contig_0 consensus mapping",155,0,0,0,0,0,0,0,0,0,108,22,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0
"Cluster_6715,contig_0 consensus mapping",109,0,0,0,0,0,0,0,0,1,74,10,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0
"Cluster_1256,contig_0 consensus mapping",102,0,0,0,0,0,0,0,0,0,74,23,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7481,contig_0 consensus mapping",238,0,0,0,0,0,0,0,0,0,133,31,0,0,0,0,0,0,0,0,0,0,253,1134,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0
"Cluster_8352,contig_0 consensus mapping",134,0,0,0,0,0,0,0,0,0,93,36,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0
"Cluster_2208,contig_0 consensus mapping",85,0,0,0,0,0,0,0,0,0,63,9,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0
"Cluster_64,contig_0 consensus mapping",70,0,0,0,0,0,0,0,0,0,72,21,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0
"Cluster_135,contig_0 consensus mapping",95,0,0,0,0,0,0,0,0,0,71,16,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0
"Cluster_621,contig_0 consensus mapping",40,0,0,0,0,0,0,0,0,0,32,21,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9660,contig_0 consensus mapping",128,0,0,0,0,0,0,0,0,0,118,41,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,21,0,0,227,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4887,contig_0 consensus mapping",71,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9082,contig_0 consensus mapping",148,0,0,0,0,0,0,0,0,0,100,24,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,171,6,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0
"Cluster_1413,contig_0 consensus mapping",76,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,98,1,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0
"Cluster_3930,contig_0 consensus mapping",59,0,0,0,0,0,0,0,0,0,55,36,0,0,0,0,0,0,0,0,0,0,95,0,1,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,1,0,0,0,0
"Cluster_13715,contig_0 consensus mapping",57,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0
"Cluster_6872,contig_0 consensus mapping",34,0,0,0,0,0,0,0,0,0,52,44,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0
"Cluster_3482,contig_0 consensus mapping",111,0,0,0,0,0,0,0,0,0,110,12,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0
"Cluster_1818,contig_0 consensus mapping",46,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0
"Cluster_550,contig_0 consensus mapping",22,0,0,0,0,0,0,0,0,0,39,18,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
"Cluster_14594,contig_0 consensus mapping",9,0,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,39,15,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
"Cluster_10169,contig_0 consensus mapping",75,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
"Cluster_8859,contig_0 consensus mapping",23,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0
"Cluster_8840,contig_0 consensus mapping",42,0,0,0,0,0,0,0,0,0,39,35,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7743,contig_0 consensus mapping",30,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9679,contig_0 consensus mapping",48,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0
"Cluster_566,contig_0 consensus mapping",14,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
"Cluster_10565,contig_0 consensus mapping",38,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0
"Cluster_1157,contig_0 consensus mapping",26,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
"Cluster_8925,contig_0 consensus mapping",27,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
"Cluster_153,contig_0 consensus mapping",45,0,0,0,0,0,0,0,0,0,28,36,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0
