"","I0A","I0B","I0C","A1C","A1E","A1M","A1O","A2C","A2E","A2M","A2O","A3C","A3E","A3M","A3O","A4C","A4E","A4M","A4O","B1C","B1E","B1M","B1O","B2C","B2E","B2M","B2O","B3C","B3E","B3M","B3O","B4C","B4E","B4M","B4O","C1C","C1E","C1M","C1O","C2C","C2E","C2M","C2O","C3C","C3E","C3M","C3O","C4C","C4E","C4M","C4O"
"A2O",0.0345420435221743,0.0392738093619877,0.0407604338479073,0.0320405860045764,0.0375311158712278,0.0330241245715573,0.0352567825002931,0.0357392606418049,0.0302155487493146,0.034704412541725,0,0.0343559517135902,0.0391268124872124,0.0350455777844636,0.0432603355376452,0.0433275972213384,0.04372197297292,0.045060475416089,0.0795625247917408,0.0351927962728435,0.0410465501428835,0.0332394563762434,0.046058360009407,0.0386502038200717,0.0325910657646602,0.0361041761156106,0.053953436099717,0.0358393786585098,0.0517991761731763,0.0342638729370792,0.0912717024569789,0.0347763266027297,0.0413532973885413,0.0388624808080508,0.0572911045261759,0.481977275201761,0.751759325285783,0.208179678607513,0.848668019985157,0.100437493705838,0.73396259786066,0.127730245809277,0.530117538760403,0.227594103056171,0.769801933702435,0.0929657825232781,0.82382277504815,0.0625401028350172,0.68541172257665,0.399178228217007,0.554125191679085
"A3C",0.0320861939398513,0.0364550977190267,0.0378007706450194,0.029295105050225,0.0332813842863825,0.0301089319000824,0.0314014715008585,0.0293409049660483,0.0246302032423234,0.0274618727159964,0.0343559517135902,0,0.0355826360065491,0.029234962309871,0.0391139109765984,0.0377937660353156,0.0405555843102121,0.0390185187362759,0.0791090607312892,0.0301006590346645,0.0404228610955339,0.0266923802001155,0.0447832890269489,0.0339835884736403,0.0277446753225862,0.02987651350257,0.0519416482237255,0.0296667915311443,0.0505876949476698,0.0277948974855436,0.0897402513551313,0.0320709193313016,0.0372923917211542,0.0328948769088891,0.0539854819323679,0.479610845983486,0.754189916324946,0.206592434237821,0.849412271467553,0.0976245698349742,0.733287382053677,0.126593056205243,0.52943615627818,0.224498925292513,0.772413070913057,0.0929513477970051,0.825406258825913,0.0581765385942203,0.687276335722774,0.402879704961122,0.553885393698534
"A3E",0.0327974065657607,0.0374931351560524,0.037379608260199,0.0338484782413011,0.0441704792534043,0.0350493386198393,0.0389782208213269,0.0344720299302953,0.0319788570946899,0.0370874655245144,0.0391268124872124,0.0355826360065491,0,0.0389118744976794,0.0403322341499416,0.047082141263757,0.0395675930156911,0.0474791298705977,0.0793130316108593,0.0343028336389169,0.0474654568624038,0.0339886271538697,0.0490292082620694,0.0351285594161727,0.0349075285908687,0.0360450007312519,0.05652534999331,0.0339747698726037,0.0454504439204142,0.0372023237632664,0.0880800582877996,0.0398407387259854,0.039604203014742,0.0404033431787448,0.0567607609130962,0.480027539192226,0.752151443297134,0.203289015424393,0.847373190143159,0.0991435804081804,0.73522824230245,0.127988807908507,0.531460874342867,0.227831859782902,0.770388011056677,0.0979788362849608,0.822348568491485,0.0655957373354345,0.686442244669656,0.400758198747765,0.555706871362371
"A3M",0.0344926199204086,0.0377489456985804,0.0383244103714808,0.0306588564022758,0.0324735830746499,0.0292485459372569,0.0328750986947128,0.0302876093987829,0.0273340451064602,0.0261264799556289,0.0350455777844636,0.029234962309871,0.0389118744976794,0,0.0377197173471717,0.0367438614500138,0.0416274255646222,0.0383719555730014,0.0817748477635971,0.0291974832699056,0.0372093058980364,0.0286946231665627,0.0441413636393332,0.0353900180729038,0.0290867814527043,0.0317067608454028,0.0531621294739667,0.0298620706947942,0.051702392780512,0.0271149862337764,0.0915849568555831,0.0295952259234577,0.0395108190515913,0.0320829847780806,0.0543416938212214,0.481504645987305,0.753761170135014,0.208795913499135,0.849366009814232,0.0996555903682713,0.734307571042211,0.127215234062898,0.528229201512529,0.22415776271681,0.771907328775167,0.0938729070608797,0.825005563658329,0.0583084873747935,0.684016817469442,0.397102732450065,0.554416837732978
"A3O",0.0389188580239835,0.0410996230977912,0.04387382847723,0.0379687845459731,0.0443757795060269,0.0363790295379366,0.0401334301825397,0.0367882596661976,0.0349500888163048,0.037033518510218,0.0432603355376452,0.0391139109765984,0.0403322341499416,0.0377197173471717,0,0.0457086712955146,0.0447224076902915,0.0464689763707753,0.0831060703076223,0.0363906711737229,0.0451769791170997,0.0383565667006744,0.0533650453742461,0.0400997606810666,0.0383685997153842,0.038399817798008,0.0576041298199218,0.0374838751951169,0.0540846184890095,0.0353072379454917,0.094276438296317,0.0419876583186808,0.0441399554795717,0.0393670397039053,0.0587514828412512,0.480242163902066,0.755108538214654,0.205698436109022,0.846693879246911,0.100399598272066,0.736151694535919,0.129378102401108,0.525436205184849,0.22418404364345,0.774554562795916,0.0971759983410134,0.823478752884248,0.0659242824233257,0.686719442590066,0.399477221313088,0.553531910717553
"A4C",0.0419535496398991,0.0470736170831912,0.0459536258198585,0.0402734618604538,0.0392252211936451,0.0390244662160889,0.0401559767264102,0.0397027314577089,0.0369575356935029,0.0374756643015833,0.0433275972213384,0.0377937660353156,0.047082141263757,0.0367438614500138,0.0457086712955146,0,0.0483096886560406,0.0456257535946938,0.0833266855808554,0.0390996721678848,0.0410229667395799,0.0391822394322159,0.0493620274216428,0.0449641941595023,0.0385088848677603,0.0424037603128891,0.0577064832820074,0.0398359455897288,0.0588833357924962,0.0379445085770109,0.0965058517019325,0.0413368944197009,0.0476534325044174,0.0416014419231048,0.0619026251040687,0.48302801706709,0.753711560356155,0.211495022554601,0.849616204067767,0.100539527370648,0.732620081151521,0.129460715291577,0.526236375679326,0.223358259595071,0.772731797796499,0.096683175813182,0.824829815274009,0.0669004535397105,0.684435775350502,0.398993322219,0.557994844748402
"A4E",0.0386697123301816,0.040436936945496,0.0435879695887485,0.038709274389378,0.047009953019451,0.0408459620756952,0.0434947998340089,0.0399848477898115,0.0372185903023759,0.0418391238970806,0.04372197297292,0.0405555843102121,0.0395675930156911,0.0416274255646222,0.0447224076902915,0.0483096886560406,0,0.0509038576832563,0.0810391787379095,0.0392056482149556,0.0503413768788885,0.0402092855239399,0.0527813814600742,0.0399536709259533,0.0404548062692112,0.0435157491584783,0.0582005069533255,0.0380090852019245,0.0525250046260522,0.0428909198189407,0.0924164659360502,0.0446058904670736,0.0427247953794566,0.0468902949441765,0.0602487590760376,0.479530943752544,0.755417220116945,0.208998795011541,0.850329167629986,0.101142476611414,0.73477708874269,0.131074323433439,0.526690101142971,0.222942655827535,0.771960197444668,0.0968680350086515,0.824372311012126,0.0662212377841071,0.686425831366036,0.402472311545204,0.555008576679543
"A4M",0.046153030130929,0.0495665073473861,0.0467554046275846,0.0434155230168224,0.0404436292958133,0.0404567453327911,0.0409296306471403,0.0382010070818182,0.0391736151502721,0.0362189895013632,0.045060475416089,0.0390185187362759,0.0474791298705977,0.0383719555730014,0.0464689763707753,0.0456257535946938,0.0509038576832563,0,0.0830239383813195,0.0399702240740524,0.046669843188465,0.0403706847811335,0.0550432785343134,0.0453006061790022,0.0394522466555119,0.042138228939948,0.061538527868538,0.0397820642415034,0.0626306715041094,0.0390993381309846,0.0970464345026554,0.038166395792194,0.0496772071925263,0.0393407099320933,0.0624342524058247,0.480328488757443,0.753392592630949,0.214174306437534,0.851523194537747,0.101462713159753,0.735016854156763,0.132783725475896,0.52499796652032,0.223576267772359,0.773199298239919,0.096898069240925,0.824505973596453,0.0690407890276456,0.686092047882515,0.400862264337387,0.555895693644561
"A4O",0.0797866390135324,0.0830127198439776,0.0819806001994379,0.0807903268600606,0.0835515035133475,0.080900520505488,0.0819222071345358,0.0795176654288378,0.0766319995719266,0.0808612175671137,0.0795625247917408,0.0791090607312892,0.0793130316108593,0.0817748477635971,0.0831060703076223,0.0833266855808554,0.0810391787379095,0.0830239383813195,0,0.0779330805243767,0.084048230274533,0.0799570507462861,0.0875393660425654,0.0799659271363731,0.0788925078501008,0.0814652024478237,0.0901286189042221,0.0792576194197039,0.0909113473670623,0.08152994031031,0.116005421196596,0.0845579270716416,0.0829067238470857,0.0804854380947294,0.0875514123648665,0.479541016423318,0.756102097814,0.213557005531682,0.850428699494785,0.120632018714545,0.732505296359966,0.143853396461816,0.52854844922922,0.221682500813535,0.780323926135653,0.116611065311984,0.821347169039054,0.101281189300651,0.687953771326379,0.405183379320508,0.558532015434267
"B1C",0.0335116231957142,0.0365560234499653,0.0375101140164264,0.0293375732715877,0.0379727716490168,0.029182547446979,0.0348704304587595,0.0281281018816572,0.0267785442136798,0.027710598259819,0.0351927962728435,0.0301006590346645,0.0343028336389169,0.0291974832699056,0.0363906711737229,0.0390996721678848,0.0392056482149556,0.0399702240740524,0.0779330805243767,0,0.0423714508520547,0.0265993739239385,0.0480207733370601,0.0322419730382462,0.0305483687970794,0.0303034749020302,0.0548569564312525,0.0287519677774599,0.0489741477105769,0.0289496954511202,0.0888217435706945,0.0320479916698625,0.0363706824539518,0.0317504825455818,0.0520144280094257,0.477311121425638,0.753285616383903,0.205230256224285,0.850401717182589,0.0966648200974874,0.734444845877172,0.126739068304126,0.526555162492969,0.220439644178688,0.774954032596719,0.0916548223734193,0.823938570979332,0.0613785128611865,0.685014202457235,0.398756512832666,0.553931256202936
