barcode,in.0bp5,in.0ap4,in.0a,in.0b,in.0c,bile19,bile20,brain20,kidney20,l1,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l2,l3,l4,l5,l6,l7,l8,l9,liver20,s1,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s2,s3,s4,s5,s6,s7,s8,s9,spleen20
"Cluster_1013,contig_0 consensus mapping",870,420,508,483,389,0,4,0,0,5,3,0,0,0,11133,0,0,6081,0,0,0,0,0,0,8,0,0,2,6,5,0,0,3,0,0,0,0,2,0,0,0,2,1,0,0,0,0,4,0
"Cluster_29762,contig_0 consensus mapping",825,336,437,416,382,0,0,0,0,0,0,0,0,0,0,0,2,0,1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cluster_9358,contig_0 consensus mapping",979,421,568,515,378,5,0,5,3,0,12333,0,3907,0,3716,0,1,0,13,0,6,0,3,0,1,0,0,0,0,6,0,0,0,3,0,0,0,1,0,0,0,2,0,3,0,1,0,1,0
"Cluster_25764,contig_0 consensus mapping",933,385,529,489,380,0,0,0,0,0,0,0,0,0,0,0,2,266,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"Cluster_4273,contig_0 consensus mapping",944,408,570,512,414,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_8332,contig_0 consensus mapping",742,329,430,418,297,0,0,0,0,0,0,1371,0,1506,0,0,4,0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
"Cluster_14296,contig_0 consensus mapping",936,380,565,530,390,0,0,0,0,0,1,0,0,0,0,0,0,0,2576,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Cluster_16695,contig_0 consensus mapping",1049,482,658,563,464,0,0,0,0,1,0,0,0,0,0,0,2,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cluster_14362,contig_0 consensus mapping",750,329,461,434,296,0,5,1,0,7908,2,0,0,2016,965,2487,1,8,1144,0,2,0,0,6,2,4,0,5,1,0,1,0,5,0,0,0,0,1,1,1,1,0,8,0,0,0,1,0,0
"Cluster_6136,contig_0 consensus mapping",875,390,496,474,400,0,0,0,0,0,0,2037,0,0,0,5485,0,0,0,5,0,4,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"Cluster_16402,contig_0 consensus mapping",763,405,503,480,315,0,6,0,0,3,0,7235,0,0,0,0,0,1170,0,8,0,7,0,0,0,0,0,6,0,0,0,0,5,0,2,0,0,0,0,0,0,1,4766,0,3,0,4,0,5
"Cluster_12077,contig_0 consensus mapping",507,265,359,298,193,0,0,0,0,0,1,0,0,378,0,544,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cluster_4862,contig_0 consensus mapping",710,310,376,391,306,0,0,0,0,0,0,0,0,0,878,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Cluster_5995,contig_0 consensus mapping",810,338,492,413,321,0,0,1,0,0,1,0,0,0,0,2777,0,0,3057,0,3,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0
"Cluster_16837,contig_0 consensus mapping",975,414,611,546,466,0,0,209,0,1,242,0,0,0,0,4,6,0,305,0,283303,1,7,3,117,5,6,0,0,0,5,6979,0,134,0,0,0,1,5840,6,4,2,0,142,0,0,0,0,0
"Cluster_31830,contig_0 consensus mapping",582,303,350,308,246,0,0,0,0,3,0,0,0,0,0,684,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,2016,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
