barcode,in.0bp5,in.0ap4,in.0a,in.0b,in.0c,bile19,bile20,brain20,kidney20,l1,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l2,l3,l4,l5,l6,l7,l8,l9,liver20,s1,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s2,s3,s4,s5,s6,s7,s8,s9,spleen20
"Cluster_15228,contig_0 consensus mapping",771,343,461,459,359,1,0,0,0,1,0,2136,1203,0,0,0,3,0,0,75,0,74438,0,0,1,0,1,0,4,0,0,0,0,0,38,0,0,2,0,2,0,2037,0,0,38,0,0,0,56
"Cluster_24512,contig_0 consensus mapping",713,318,403,354,314,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Cluster_18570,contig_0 consensus mapping",677,325,416,382,332,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Cluster_31806,contig_0 consensus mapping",498,274,283,286,222,0,8,0,0,12173,0,749,0,0,0,0,0,7,0,0,0,1,0,13,0,0,0,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,906
"Cluster_20420,contig_0 consensus mapping",650,273,356,327,231,0,0,0,0,0,0,696,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,3497,0,1,0,0,0,0,0,0,0
"Cluster_13020,contig_0 consensus mapping",577,280,341,286,243,0,0,2,0,0,3,3615,0,0,0,0,0,0,2575,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,3
"Cluster_3908,contig_0 consensus mapping",511,232,328,257,202,10,0,0,11,0,0,828,7,285,0,0,0,0,0,4,0,0,5,88,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,1,6809,0,0,0
"Cluster_1692,contig_0 consensus mapping",743,324,398,392,315,0,0,0,0,0,0,0,0,5016,0,428,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
"Cluster_5390,contig_0 consensus mapping",620,319,416,336,290,0,1,0,0,1,0,1,0,0,0,1881,0,1149,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0
"Cluster_10669,contig_0 consensus mapping",500,237,326,260,185,0,0,0,0,0,0,1307,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,814,0,1,0,0,1,0,0,0,1
"Cluster_23964,contig_0 consensus mapping",739,323,446,403,331,0,4,0,0,6,0,5,0,0,0,2369,1,10,0,7477,0,7,0,0,0,4,0,7,0,0,1,0,7166,0,4,0,8,0,0,1,1,1,1,0,4,0,0,0,3
"Cluster_30590,contig_0 consensus mapping",450,240,258,265,171,0,0,0,0,0,0,640,0,0,0,0,2,0,0,2,0,2,0,0,0,0,1,0,2,0,0,1,0,0,2450,0,0,0,0,10,0,3936,0,0,2,0,0,1,0
"Cluster_13864,contig_0 consensus mapping",745,362,436,353,290,0,2,4,0,10,7,0,0,6,0,0,63,10,4,0,4777,0,0,0,1,0,0,10723,0,0,0,0,3,4,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0
"Cluster_26413,contig_0 consensus mapping",568,243,346,354,243,0,0,0,0,0,1,0,0,0,1945,0,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_19507,contig_0 consensus mapping",392,225,229,189,147,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4337,0,0,0,0,0,0,0
"Cluster_29092,contig_0 consensus mapping",464,225,211,229,202,0,0,0,0,3,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_5970,contig_0 consensus mapping",576,261,350,290,262,0,0,0,0,0,0,1475,0,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cluster_20691,contig_0 consensus mapping",964,333,467,460,388,66,19,0,43,18,0,0,44,0,0,3775,3,2523,0,0,0,0,47049,1,1,2,1,10,0,0,0,2,4,0,0,18750,0,0,2,0,2,1,12730,0,0,28,8,0,0
"Cluster_4506,contig_0 consensus mapping",579,268,351,277,232,3,0,0,0,1,0,2032,2782,0,0,1,0,245,1885,1,3,2,1,0,0,2,0,0,1,0,1516,1,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1
"Cluster_18735,contig_0 consensus mapping",774,323,456,399,348,0,2,0,0,7,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,1,8,0,0,0,0,10428,0,0,0,7,0,0,0,0,1,3,0,0,0,0,0,0
"Cluster_31000,contig_0 consensus mapping",697,299,370,333,273,43,0,0,44,0,0,3,30,609,0,0,0,304,0,8,0,5,45090,0,0,0,0,0,3,0,0,0,0,0,1,19,0,0,0,1,0,0,0,0,3,8,0,0,6333
"Cluster_5,contig_0 consensus mapping",568,290,357,324,237,0,11,0,0,13591,0,0,0,0,0,0,0,14,0,0,0,0,0,8,0,0,0,14,0,0,0,0,5,0,0,0,0,3,0,1,0,0,8,0,0,0,0,0,0
"Cluster_8999,contig_0 consensus mapping",827,352,505,421,307,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,5872,0,2,1,0,1,0,0,0,0,0
"Cluster_12053,contig_0 consensus mapping",507,206,290,259,197,0,7,0,0,7541,0,0,0,0,1,0,6,8,0,0,1,0,0,8,4,0,6,6,10,2,0,0,5,0,0,0,0,1,0,4605,0,3,3,0,0,0,0,2822,0
"Cluster_20604,contig_0 consensus mapping",670,308,394,316,268,0,0,1,0,0,0,0,0,0,0,3,2,0,1118,0,0,0,0,0,0,5,0,0,0,0,3,1,0,0,0,0,0,0,5464,0,4,0,0,2,0,0,0,0,0
"Cluster_12720,contig_0 consensus mapping",709,299,445,385,306,23,0,0,11,0,0,1,8,0,0,0,0,0,0,5,0,4,21,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,1,0,1,16474,1,0,2710
"Cluster_12757,contig_0 consensus mapping",702,319,375,386,285,0,0,0,1,0,0,1663,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_14419,contig_0 consensus mapping",526,181,284,241,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_631,contig_0 consensus mapping",812,366,492,448,365,0,0,0,0,0,1,0,0,0,1644,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Cluster_12578,contig_0 consensus mapping",691,293,396,342,280,0,0,0,0,0,0,1551,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,4
"Cluster_27047,contig_0 consensus mapping",757,288,394,396,279,0,0,0,0,0,2,0,0,0,4914,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0
"Cluster_9565,contig_0 consensus mapping",653,298,362,373,249,0,0,3,0,0,2,0,0,0,3,0,0,15,1542,0,4,0,0,0,3,0,17,0,0,5,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2602,0
"Cluster_24212,contig_0 consensus mapping",583,239,298,332,261,0,0,3,0,0,2,0,0,0,0,768,2,0,3,0,6,0,0,0,0,0,1,0,0,0,0,0,0,5640,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0
"Cluster_22720,contig_0 consensus mapping",636,295,382,365,243,0,0,0,0,0,0,0,0,0,0,1202,0,106,667,0,0,0,0,0,0,3,0,0,6,1,1,0,0,1,0,0,0,0,1969,0,0,0,0,0,0,0,0,0,0
"Cluster_22960,contig_0 consensus mapping",515,248,297,274,214,0,2,0,0,5,0,4,0,226,0,726,1,7,0,7,0,5459,0,0,0,0,0,6107,0,0,0,0,6,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,2
"Cluster_14458,contig_0 consensus mapping",693,283,415,383,248,0,0,0,0,0,2,1381,0,10,6425,3888,0,0,0,0,0,0,1,20510,5,3,1,0,10,2,2,1,0,0,0,0,5,1,3,1,1,0,0,0,0,0,5,0,1
"Cluster_9800,contig_0 consensus mapping",666,293,404,416,283,0,0,0,0,0,0,8,0,0,0,6,1,0,0,9,0,11,2,0,0,9,0,0,15,0,1,0,0,0,10538,0,0,0,8091,1,4,1,0,0,10,0,0,0,3
"Cluster_11941,contig_0 consensus mapping",471,271,276,228,203,0,0,0,0,0,0,0,0,0,0,2013,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Cluster_18552,contig_0 consensus mapping",724,331,429,402,339,2,0,8,1,0,2,0,2589,0,0,13,2,0,7,0,3,0,2,0,0,12,0,0,0,0,14,0,0,6554,0,2,0,0,9,3,19730,0,0,4,0,1,0,0,0
"Cluster_21466,contig_0 consensus mapping",637,285,338,344,265,0,0,0,0,0,0,0,0,0,312,0,5,0,0,0,0,0,0,0,1,0,2,0,3,0,0,4229,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0
"Cluster_23377,contig_0 consensus mapping",489,242,321,240,215,0,0,0,4,0,0,0,4042,0,0,572,1,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_31068,contig_0 consensus mapping",771,278,408,399,314,0,0,3,0,0,2,8416,0,0,0,1526,1,0,2678,7,2,8,0,0,0,0,0,0,6,0,1,1,0,0,1,0,0,0,1,0,0,0,0,2,4,0,0,0,7
"Cluster_31524,contig_0 consensus mapping",442,206,202,231,208,1,0,0,0,0,0,0,807,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,330,0,0,0,1,0,1,0,0,0,3,0,0,0
"Cluster_31712,contig_0 consensus mapping",520,200,276,233,189,0,0,0,0,0,0,1522,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_26043,contig_0 consensus mapping",874,427,525,434,362,0,0,0,0,0,2,0,0,1229,9431,0,2,0,0,2,0,0,0,0,12,0,0,0,7,5,0,1,0,0,0,0,0,5,0,0,0,0,1,5,0,0,0,6013,0
"Cluster_24869,contig_0 consensus mapping",561,259,318,271,228,0,1,8,0,0,5,2859,0,0,4,0,0,450,637,6,15,5,0,0,2,0,37,0,15,6,0,0,0,18648,1,2,1,13,0,1312,0,1,1,11,1,0,0,1845,1469
"Cluster_31682,contig_0 consensus mapping",449,230,238,235,186,0,0,7,0,0,14800,2,0,0,7,0,1,0,14,11,11,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,5134,0,0,0,9
"Cluster_15342,contig_0 consensus mapping",492,232,283,255,200,0,0,0,0,0,2,0,0,0,0,0,1,0,2618,0,1,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Cluster_8034,contig_0 consensus mapping",666,315,387,385,294,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,8,0,0,0,8811
"Cluster_11080,contig_0 consensus mapping",438,238,298,285,180,0,0,0,0,0,0,0,0,0,1442,0,2,0,408,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0
"Cluster_16585,contig_0 consensus mapping",604,278,334,362,239,0,0,0,0,0,5,0,0,0,0,0,0,0,2864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cluster_19086,contig_0 consensus mapping",680,304,360,326,285,0,0,5,0,0,13,0,0,0,0,0,2,0,11,0,11981,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Cluster_12493,contig_0 consensus mapping",524,271,334,318,240,0,0,0,0,0,0,0,0,19,0,823,0,0,0,0,0,0,0,22,0,0,0,0,23,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,23267,0,0
"Cluster_7077,contig_0 consensus mapping",662,257,392,339,253,0,0,0,0,0,0,0,0,0,0,340,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cluster_10620,contig_0 consensus mapping",643,326,393,365,285,2,0,0,1,0,0,18,1717,0,0,4,1,0,0,17,0,14,0,0,0,5,0,0,0,0,3,0,0,0,11,1,0,0,7904,1,5,0,0,0,15697,0,0,0,20
"Cluster_10416,contig_0 consensus mapping",531,255,317,288,227,2,0,0,1,0,0,0,1134,1206,3,5,7,0,0,0,0,0,828,1,4,8,1,0,2,4,3526,4226,0,2,0,2,0,5488,2,2,5,0,0,0,0,1,0,1,0
"Cluster_1064,contig_0 consensus mapping",629,321,353,310,248,0,1,0,0,2,1,3129,0,0,3106,0,0,529,0,4,0,5,0,0,2,0,0,0,2,2,0,1,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,1583
"Cluster_27728,contig_0 consensus mapping",576,244,351,337,239,0,0,0,0,0,0,6513,118,0,2,13,2,0,0,6,0,4,0,0,4,19,0,0,0,6,15451,0,0,0,2,0,0,2,6,1,17,0,0,0,3,0,0,3983,5
"Cluster_30252,contig_0 consensus mapping",455,206,308,240,195,2,0,0,0,0,0,666,54,0,0,0,0,290,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Cluster_21948,contig_0 consensus mapping",511,229,346,277,186,0,0,0,0,0,0,1313,0,714,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cluster_21896,contig_0 consensus mapping",512,245,309,287,210,0,0,3,0,0,7595,0,1,525,7,0,0,0,7,0,4,0,0,0,613,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"Cluster_19521,contig_0 consensus mapping",709,314,418,377,285,0,0,0,0,0,0,6008,0,0,0,1,2,0,0,7,0,5,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,839
"Cluster_13060,contig_0 consensus mapping",377,217,197,222,153,0,0,0,0,0,0,0,0,0,0,1297,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Cluster_5563,contig_0 consensus mapping",464,247,328,285,177,0,0,0,0,0,0,1213,0,481,2,0,3,0,0,11,0,6495,0,0,2,0,0,0,1,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,4257,11
"Cluster_10305,contig_0 consensus mapping",718,269,405,393,300,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,69,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
"Cluster_11743,contig_0 consensus mapping",408,198,191,231,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_23686,contig_0 consensus mapping",414,226,267,251,168,0,1,0,0,2,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,1,0,5858,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Cluster_8247,contig_0 consensus mapping",526,213,286,244,209,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2034,0,0,0,1,0,1,0,0,0,1,0,0,0
"Cluster_1200,contig_0 consensus mapping",291,182,164,178,104,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659
"Cluster_32193,contig_0 consensus mapping",713,325,381,413,324,0,0,0,0,0,0,36,0,1363,0,0,2,0,0,53,0,43,0,0,0,0,2,0,1,0,0,2686,0,0,21,0,0,0,0,2,0,0,0,1,41345,0,0,0,40
"Cluster_23131,contig_0 consensus mapping",460,192,245,239,168,0,0,0,0,0,2,0,0,0,542,0,1,0,979,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cluster_26480,contig_0 consensus mapping",689,306,380,384,268,4,1,0,1,1,0,1,3082,0,0,0,1,852,0,6,0,0,39,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,2416
"Cluster_31124,contig_0 consensus mapping",433,205,262,242,168,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cluster_2525,contig_0 consensus mapping",560,291,359,368,256,2,0,0,3,0,1,0,2,0,2011,4,2,26,0,0,0,0,2356,0,2,12,0,0,10,1,10306,0,0,0,0,0,0,0,6,0,4,1,0,0,0,0,0,0,0
"Cluster_17151,contig_0 consensus mapping",714,297,385,300,279,0,0,86535,3,2,68,0,0,0,1173,0,26,747,115,0,69,0,0,0,0,0,19,0,2,41,0,16,0,32,0,0,0,0,0,5194,0,14612,0,50,0,0,0,0,0
"Cluster_7616,contig_0 consensus mapping",514,249,302,255,203,2,0,0,3,0,0,1114,2,0,3,2013,0,177,0,2,0,0,2962,0,3,1,0,0,0,1,0,0,0,0,1,3,0,2376,1,0,1,0,0,0,0,0,0,0,1
"Cluster_19425,contig_0 consensus mapping",587,307,311,307,263,0,0,0,0,0,0,0,532,0,0,3889,5,0,0,0,0,0,0,0,0,2,3,0,1,0,0,2,0,0,0,0,0,0,4,3503,0,4,0,3,0,0,0,0,0
"Cluster_3491,contig_0 consensus mapping",723,333,380,387,290,0,0,0,0,0,1,0,0,0,8240,2,1,0,0,0,0,0,0,0,5,8,0,0,7,3,3,0,0,2,0,0,0,2,7295,0,1,0,0,0,0,0,0,2,0
"Cluster_18670,contig_0 consensus mapping",673,294,403,355,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_228,contig_0 consensus mapping",738,316,378,354,266,0,0,0,0,0,1,1967,0,0,0,0,1,0,76,7,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2475
"Cluster_11755,contig_0 consensus mapping",507,278,302,272,196,0,0,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515
"Cluster_19175,contig_0 consensus mapping",542,259,322,295,234,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"Cluster_26700,contig_0 consensus mapping",740,303,433,408,312,2,0,0,1,0,0,4,3046,0,0,0,1,0,0,7,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,4432
"Cluster_4160,contig_0 consensus mapping",571,246,302,300,239,3,0,0,0,0,2,0,1123,1260,1,1886,2,0,1192,1,1,0,0,2,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,104
"Cluster_5442,contig_0 consensus mapping",585,285,312,310,226,0,0,0,0,0,0,7,0,0,2500,913,0,0,0,3405,0,3,0,0,1,2,0,0,1,1,1,0,0,0,2,0,0,1,2,0,1,0,0,0,3,0,0,1,2056
"Cluster_29573,contig_0 consensus mapping",320,197,207,209,140,3,0,0,2,0,0,0,2315,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_13479,contig_0 consensus mapping",640,271,343,316,264,0,0,0,0,0,1,0,0,1318,475,0,4,0,1841,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,2064,0,2,0,0,0,0,0,0,0
"Cluster_10475,contig_0 consensus mapping",563,237,333,297,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cluster_13539,contig_0 consensus mapping",424,175,209,176,141,0,0,0,0,0,0,169,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_15215,contig_0 consensus mapping",574,227,337,287,241,0,0,21,0,0,11,1772,0,0,0,10,10,654,21,1,18,0,0,0,0,22,3,0,0,0,15784,4,1,15,2,0,0,0,10,4,14,6430,0,18302,1,2,0,6,2
"Cluster_31338,contig_0 consensus mapping",623,278,328,293,222,0,0,0,0,0,0,0,0,1114,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1230,0,0,0,0,0,0,1,0,0
"Cluster_5002,contig_0 consensus mapping",435,233,248,257,183,0,0,2,0,0,6805,1249,0,2015,5,0,1,0,92,1,6,1,4,20013,0,0,0,0,26,0,0,0,0,3,0,0,10,0,0,0,0,0,0,1,0,0,5,0,0
"Cluster_25702,contig_0 consensus mapping",777,330,459,379,298,1,0,0,0,0,0,0,0,2497,0,5,1,0,0,0,0,0,251,2,0,4,1,0,12,0,4,0,1,0,0,0,0,3,7404,1,5,0,0,0,0,0,1,0,0
"Cluster_30670,contig_0 consensus mapping",637,283,384,361,261,8,0,6,7,0,9347,0,6,0,6,0,1,0,7,0,8,0,12,0,0,0,0,0,0,0,0,0,0,4,0,7268,0,0,0,0,0,1,0,2,0,4,0,0,0
"Cluster_18326,contig_0 consensus mapping",582,254,378,301,250,2,0,11,2,0,22888,0,2389,476,16,0,1,0,20,0,19,0,1,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,1,0,0,0,11,0,1,0,0,0
"Cluster_30579,contig_0 consensus mapping",292,184,170,175,112,0,0,0,0,0,0,1,0,0,1128,0,0,0,41,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1764,639
"Cluster_6827,contig_0 consensus mapping",418,238,278,246,202,0,0,0,0,0,5272,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,145
"Cluster_25082,contig_0 consensus mapping",791,340,449,395,333,0,0,0,0,0,0,0,0,3293,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
"Cluster_30454,contig_0 consensus mapping",473,192,306,249,203,0,0,0,0,0,0,260,0,0,0,15,1,0,0,0,0,1,0,0,0,14,0,0,8,0,15,0,0,0,0,0,0,0,10,0,28891,1,0,0,0,0,0,0,0
"Cluster_21538,contig_0 consensus mapping",369,182,200,172,155,0,2,0,0,3063,0,0,0,13,0,0,0,4,556,0,0,0,0,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Cluster_17853,contig_0 consensus mapping",620,298,352,304,258,0,0,0,2,0,0,1,0,0,0,9,0,0,0,4,0,1,0,0,0,28,0,0,5,1,13,0,0,0,1,0,0,0,8,0,26113,0,0,0,0,0,0,0,1742
"Cluster_2652,contig_0 consensus mapping",652,255,400,378,314,0,0,5,0,0,1,0,0,0,0,0,1,0,2,2,9,0,0,0,0,0,82,0,1,0,0,1,0,4018,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0
"Cluster_19802,contig_0 consensus mapping",517,218,291,230,232,0,0,0,0,0,0,1658,0,0,0,27,0,43,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cluster_17082,contig_0 consensus mapping",750,301,366,401,277,0,0,0,0,0,0,2153,0,0,0,5391,0,0,0,1,0,4,0,0,0,5,72,0,3,0,2,0,0,0,1,0,0,0,7420,0,5,0,0,0,0,0,0,0,0
"Cluster_20547,contig_0 consensus mapping",725,300,434,426,300,0,0,0,0,0,0,0,0,0,0,4108,3,0,0,1508,0,0,0,0,0,1,0,0,4,0,1,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1
"Cluster_29716,contig_0 consensus mapping",498,207,272,281,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cluster_30505,contig_0 consensus mapping",431,185,256,210,163,0,2,0,0,0,0,0,0,0,0,1137,1,1,0,0,0,0,0,71,0,1,0,1,1,0,0,0,3674,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Cluster_19662,contig_0 consensus mapping",709,303,400,360,284,0,0,2,0,0,2,0,0,0,0,0,0,0,2792,0,2,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0
"Cluster_15781,contig_0 consensus mapping",841,370,505,483,369,4,0,0,1,0,0,0,3123,0,0,0,7,0,0,0,0,1,6,0,0,0,3,0,6,0,0,4,0,0,0,3,0,0,0,7055,0,3,0,0,0,0,0,0,0
"Cluster_27353,contig_0 consensus mapping",401,223,257,230,176,0,0,0,0,0,0,2119,0,0,0,41,0,0,0,1,0,2,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"Cluster_8384,contig_0 consensus mapping",556,232,270,284,220,0,1,0,0,0,0,0,0,0,10,0,2,253,0,0,0,0,0,0,13,0,0,0,0,18,0,0,1,0,0,0,0,12,0,0,0,0,0,8,0,0,0,15238,0
"Cluster_22974,contig_0 consensus mapping",543,267,318,292,243,47,1,0,31,0,0,1816,1846,0,0,0,1,544,0,10,0,8,34,0,0,0,0,1,63,0,0,0,0,0,2,24,0,0,0,0,0,1,0,0,3,34146,0,0,1827
"Cluster_17904,contig_0 consensus mapping",502,221,299,223,200,0,0,0,0,0,0,568,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
"Cluster_25803,contig_0 consensus mapping",512,248,334,271,240,0,0,0,0,0,1,0,0,0,3882,1297,1,0,0,0,0,0,0,0,3,5,1,0,3,2,0,0,0,0,0,0,0,3,4957,0,4,1,0,0,0,0,0,1,0
