barcode,s61_vc12,s40_vc16,s41_vc16,vc1,vc2,vc10,vc11,vc12,vc13,vc14,vc15,vc16,vc17,vc18,vc19,vc20,vc21,vc22,vc23,vc24,vc25,vc26,vc27,vc28,vc29,vc3,vc30,vc31,vc32,vc33,vc34,vc35,vc36,vc37,vc38,vc39,vc4,vc40,vc41,vc42,vc43,vc44,vc45,vc46,vc47,vc48,vc49,vc5,vc50,vc51,vc52,vc53,vc54,vc55,vc56,vc6,vc7,vc8,vc9,s34_vc5,s1_vc5,s2_vc5,s3_vc5,s4_vc5,s5_vc5,s6_vc5,s7_vc5,s8_vc5,s9_vc5,s10_vc5,s11_vc5,s12_vc5,s13_vc5,s14_vc5,s15_vc5,s16_vc5,s17_vc5,s18_vc5,s19_vc5,s20_vc5,s21_vc5,s22_vc5,s23_vc5,s24_vc5,s25_vc5,s26_vc5,s27_vc5,s28_vc5,s29_vc5,s30_vc5,s31_vc5,s32_vc5,s33_vc5
lm13 mapping,1577,68,1631,172,86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
lm14 mapping,5450,1363,2040,1021,305,0,12,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,7,0,0,0,0,0,1,0,0,2275,0,0,0,0,0,1,0,0,0,1035,0,1,0,0,0,71,7,1,3,100,0,0,0,51,2,2,2,56,0,0,0,731,8,0,4,0,0,0,0,101,8,3,0
lm15 mapping,2276,0,355,409,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,476,0,0,0,0,0,1,7,0,0,0,0,0,0,0,5,0,0,21,0,0,0,113,7,0,0,0,0,0,0,0,11,0,1
lm16 mapping,2797,497,6157,760,215,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,862,1,2,0,0,4,69,1,131,4,0,0,0,2,2,0,1,3,310,0,0,1,10,2,0,2,0,0,0,0,4,0,1,3
lm17 mapping,5121,749,482,612,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,655,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1
lm18 mapping,4018,270,2706,839,223,1,0,0,0,0,0,0,1058,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,68,0,1,4,0,0,0,0,0,0,0,0,1,817,17,33,2,1,18,5,26,105,29,37,1,3,16,4,21,64,32,31,4,4,18,954,35285,168538,32286,86205,5354,3345,42103,8090,74,4200,3267
lm19 mapping,1644,0,2265,143,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2
lm20 mapping,1449,350,1454,295,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,54,0,0,0,6,0,0,0,0,0,2,0,1,287,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm21 mapping,474,0,733,157,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
lm22 mapping,7091,875,5157,1090,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1129,38,10,1,14,2,2155,31366,30372,29,10,70,30,0,6,20,15,29,8,0,17,0,7,130,12,40680,24503,2443,728,1968,4568,56,16,72
lm23 mapping,11116,448,990,904,267,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,825,3,1,164,3,0,0,0,0,0,2,186,3,0,0,1,0,3,0,136,2,0,31,0,0,2,0,151,5,0,0,3,0,2
lm24 mapping,3676,133,2851,522,186,1,0,32,0,0,0,0,0,4,0,44,0,0,0,0,37,12,0,39151,0,0,101,21,0,0,4890,0,44,0,1,0,24,0,1,3,0,59,0,0,1,0,0,0,2,0,64,0,0,0,0,0,1,0,1,1333,0,2,0,0,1,6,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,405,0,0,0,2,0,0,1,4,0,0,2
lm25 mapping,704,0,0,138,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm26 mapping,9456,1757,4514,1255,493,2,3,0,0,0,3,0,1066,1,440,0,0,0,6591,0,1,0,1,0,0,1,0,17,0,1,0,0,0,0,0,5,0,0,4,0,0,0,0,0,15,0,2,0,0,79,1,0,0,6,0,1,4,0,2,1353,5,16,0,0,1,1,7,1,5,6,0,0,0,1,8,1,2,4,0,0,0,1494,8,3,3,11,0,0,0,1,9,2,3
lm27 mapping,596,0,827,143,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lm28 mapping,4114,0,1857,683,199,0,3,98,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,5,1,0,0,0,0,425,0,0,1304,1,0,0,2,0,0,0,0,0,588,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,651,898,0,4,0,0,0,0,1,2,0,2,0
lm29 mapping,5743,3083,1593,678,381,60349,348,29874,97,114,0,0,1,47,14,47,14,62,0,0,0,71,19,70,30,21758,103,0,0,0,35,13,58,19,74,0,55506,0,1,92,31,92,37,154,0,0,0,38793,70,11,60,12,72,0,0,160923,131,0,0,614,1,1,0,0,0,0,0,1,2,0,59,0,2,0,0,3,3,28,0,0,1,0,0,1,0,1,0,0,2,0,0,1,1
lm30 mapping,8154,1313,8410,1336,457,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,32,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,3,1422,8,51,0,59877,3,315,50179,838,1,13,34,39,3,0,39,0,1,35143,353,18,2,93,35,1,2,27,0,32,2,3,40,2,0
lm31 mapping,3789,507,3181,464,155,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,802,0,9,0,0,0,0,0,0,0,1225,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,0,0,0,0,0,132,0,0,0,0,0,0,0,144,0,1,0,1,0,0,1,109,0,0,0,0,0,0,0,155,0,0,0
lm32 mapping,7944,3540,102,1327,409,0,0,152,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1484,1,240,0,2,29,1,0,2,1,280,0,3,28,1,0,1,2,168,0,1,13,1539,0,0,3,312,0,3,29,3,1,1,1
lm33 mapping,1401,1342,298,494,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
lm34 mapping,5170,1214,2319,678,235,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,634,0,16,0,3,7,67,0,4,0,4,0,0,5,48,0,0,0,22802,0,5,10242,136468,1,1,0,25,0,4364,12,2184,0,2,7
lm35 mapping,7761,3291,1577,1319,335,53,16,2126,0,0,0,0,1,0,11,1,0,0,0,0,1,1,8,3,0,8179,0,0,0,2,0,5,4,0,0,0,1,0,1,0,18,2,0,0,0,0,1,0,0,12,3,0,0,0,0,0,5,0,4,1215,10,6,0,20,29,2,0,6,3,2,1,26,38,3,0,8,3,1,0,17,19,1,16,510,7,5041,956,44426,61075,1218,9,11888,722
lm36 mapping,4582,1191,2336,731,194,0,0,240,0,129,0,0,73147,200,2,218737,68,215904,0,0,124,1,0,314,5,0,282,0,0,54,1,0,226,0,212,0,122,0,106,1,0,464,2,395,1,0,70,0,0,1,286,0,241,3,0,191,0,0,59,611,0,0,0,0,2,0,5,0,2,0,0,0,1,0,0,0,1,8,0,0,1,0,3,4,1,0,0,0,2,0,2,0,1
lm37 mapping,5931,1850,825,795,265,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,815,0,3,10,0,13,0,8,34,2,535,145,0,12,0,12,2,1,5,18,0,6,0,12,2,1,7160,77,14,23886,77,11,141,34
lm38 mapping,7318,905,1815,1261,401,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1004,1,0,0,1,0,4032,1,5,2,1,0,0,1,4,0,1,1,40,0,1,0,1,0,1,3,0,0,0,0,3,0,1,0
lm39 mapping,5329,2382,1681,1029,317,0,0,1,0,26,16,24,2274,1,21,0,0,127,15236,11,35,1,0,1,0,0,42,37,3,22,0,0,0,0,86,25,0,14,50,56,0,1,3,63082,44,10,17894,0,1,0,22,0,64,25,5766,41,14,9,44,944,1,0,0,0,0,1,3,1,1,0,0,0,1,3,6,1,1,0,0,0,1,2,7,1,4,0,0,0,0,5,10,2,0
lm40 mapping,10452,3165,7717,2140,638,1,0,0,0,3,0,0,6,0,0,0,0,14,0,0,12,2,0,0,0,0,12,0,0,5,0,0,0,0,12,0,0,0,22,8,0,0,0,9162,0,0,5468,0,1,0,0,0,12,0,0,10,0,0,12,1896,0,5,0,0,0,56,7,1,3,3,0,0,0,51,11,3,5,215,0,0,0,298,5,3,6,1,0,0,0,111,9,3,2
lm41 mapping,67,0,0,112,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm42 mapping,2560,598,4071,426,109,1,0,11,0,2,1,0,20168,10,8,11634,2,7623,4788,3,25,0,0,19,0,0,11,10,0,15,0,0,11,0,10,3,5,0,29,1,0,24,0,18,9,0,21,0,0,0,12,0,5,3,0,11,6,0,14,409,0,9,0,0,0,1,1,2,0,2,6,0,0,0,2,0,0,9758,0,0,0,0,1,2,0,6,0,0,0,0,0,2,0
lm43 mapping,2056,0,3170,267,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,274,0,5,0,0,0,0,0,0,0,2424,104,0,0,0,0,1,0,479,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0
lm44 mapping,7033,3540,3811,1083,395,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,3,1137,23,1,1,0,0,0,3,1,39,948,267,0,2,0,2,0,19,156,0,0,1,0,7,2,28,1,0,0,3,0,4,0,32
lm45 mapping,0,449,1604,156,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm46 mapping,563,596,0,116,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lm47 mapping,8424,2873,1698,1150,453,276,0,166,0,11,9,13,38,131,1,50,0,13,4,2,45,256,0,71,0,0,21,25,5,17,90,0,50,0,17,14,26,16,66,355,18,126,1,8735,15520,3547,33460,0,130455,6,35474,0,4284,11,3941,17,11,6,90,1161,0,1,0,0,1,1,0,3,0,0,0,0,0,2,0,2,0,27,0,0,1,710,0,2,1,0,0,0,0,8,0,1,0
lm48 mapping,12956,453,7698,1701,607,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,1748,106,4,24,0,22273,3847,60447,34505,328,3,0,0,17,5,101,9,196383,14,233,0,7,4241,93,10,105,5,1,0,10,60,154,15,147
lm49 mapping,3930,0,963,529,164,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,2671,0,0,231,69,0,0,0,0,0,0,0,4,535,1,0,0,0,0,0,1,596,2,1,6,0,0,0,1,1,1,20,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
lm50 mapping,3754,1051,2833,400,129,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,370,0,0,0,0,2,0,0,135,0,1,0,0,0,0,0,18,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,28,1
lm51 mapping,3167,1677,537,575,200,1,7,0,0,0,0,0,1,0,6,0,0,4,0,0,1,1,6,0,0,4,3,0,0,0,0,3,0,0,2,0,0,0,0,2,14,0,0,2364,0,0,0,0,1,3689,0,0,3,5,0,1,0,0,0,719,1,0,0,0,0,6,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,3,0,1,0
lm52 mapping,5707,1423,0,913,275,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,819,13,10,82,0,120,3,3,1,10,7,81,0,103,0,0,0,4,17,87,3,87,3,313,396,15,13009,171875,1325,2491,3460,281,84,21862
lm53 mapping,1660,0,2489,287,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,251,16,2,4,0,3,0,209,123,18,3,3,0,4,0,202,85,125,4,2,0,1,3,380437,238020,11861,11093,6317,435,26,2873,299,168,22823
lm54 mapping,5990,3128,2088,984,296,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,540,2,0,0,0,0,0,0,0,0,870,5,0,0,0,1,0,1,0,9,0,0,0,0,0,0,1,10,0,0,0,1,0,1,0,9,0,0,9,2,69,0,1,16970
lm55 mapping,1613,0,0,460,131,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,486,2,0,0,0,0,4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2
lm56 mapping,9054,2566,4705,1222,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1202,2,2,0,1,0,9,3,4,7,1,0,2,0,0,2,1,2,20,0,0,0,1,1,3,3,0,0,1,0,0,3,2,0
lm57 mapping,1395,147,0,210,71,40,4,669,0,32,0,0,0,0,0,13,0,42,0,0,0,1,0,3,0,0,42,0,0,0,0,0,14,0,36,0,10088,0,0,0,0,13,0,67,0,0,0,4,0,0,8,0,25,0,0,45951,0,0,0,148,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
lm58 mapping,9445,2343,4635,953,263,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,909,3,0,0,2,2,1,0,0,6,0,0,0,2,1,0,1,1,0,0,1,0,73,0,3,5,0,0,2,4,4,0,0,4
lm59 mapping,15629,0,6746,2368,696,4,0,460,0,10,245,7,1,1,0,13,0,12,240,3,2247,18,509,11736,0,0,12866,380900,10,5,1395,185,14,0,19,644,4,11269,5,1,2,23,0,15,649,12,5,0,2,41,20,0,12,428,3,14,371,4,3,2158,31,3,0,0,24,3,2,4,27,2,0,0,15,4,4,1,15,35,0,0,17,3,14,9,31,454,0,29,26,29,6,3,42789
lm60 mapping,1764,850,2154,1048,292,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,343,1,0,0,34,0,0,1,293,1,0,0,30,0,0,1,0,0,0,0,25,0,0,4,0,0,1,0,39,0,0,5,0,0
lm61 mapping,3323,1750,829,1410,438,0,1,0,0,0,15,0,6,0,795,90,0,0,19978,5,2,0,0,0,0,1,0,52,0,2,0,1,0,0,0,28,0,0,4,0,2,1,0,0,53,0,2,0,1,1,0,0,0,21,0,0,20,0,2,726,1,1,0,0,0,12,3,1955,1,2,39,0,2,11,2,3,0,2740,0,0,3134,30141,4,4,0,2,0,0,1,13,29,1,0
lm62 mapping,3674,697,2463,474,158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,3,1,0,0,0,0,2814,1,1,89,345,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1
lm63 mapping,3929,1124,0,516,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,20,0
lm64 mapping,4180,875,707,844,215,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,10,0,0,0,0,1,21050,71,5,0,0,0,0,1,14,1,1,0,0,0,0,3,18,0,2,1,0,0,0,0,12,2,1
lm65 mapping,9506,1958,4946,1927,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1569,2,1,0,0,0,0,0,1,7,0,0,0,2,0,1,0,5,21,0,0,1,0,2,5,9,2,0,0,1,0,0,33,2
