"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"s29_vc08",208318,123,65.2857142857143,16.1478590766369,254,1726.57395550273,4200,2.40483371661994,3.6232492903979,16.5354330708661
"s3_vc08",308958,43,21,4.81212633057096,53.8571428571429,351.545352674056,1600,1.73124331019154,3.20411998265592,29.7082228116711
"s30_vc08",201424,51,37.25,5.88846257163095,66.3333333333333,239.531941403037,1400,1.82173182169004,3.14612803567824,21.105527638191
"s31_vc08",380058,167,287,280.298105021855,664,302.504315750729,9.4e+07,2.82216807936802,7.9731278535997,141566.265060241
"s32_vc08",223430,57,4.33333333333333,0.749995678759023,74.3333333333333,4952.22692156871,20000,1.8711836083285,4.30102999566398,269.058295964126
"s33_vc08",247357,111,5.21052631578947,0.794245704311711,216,9318.24866414095,28000,2.33445375115093,4.44715803134222,129.62962962963
"s34_vc08",347913,96,43.8571428571429,2.64424334088447,166.454545454545,1537.85901522274,2600,2.22129565914347,3.41497334797082,15.6198798470781
"s35_vc08",461083,125,24.75,1.79250009295955,258,4604.78028310295,12200,2.41161970596323,4.08635983067475,47.2868217054264
"s36_vc08",360637,117,24.75,6.35117104949896,234,4422.24578278809,5200,2.36921585741014,3.7160033436348,22.2222222222222
"s37_vc08",398069,133,30.3333333333333,3.22822157209333,306,4699.83301802868,9800,2.48572142648158,3.99122607569249,32.0261437908497
"s38_vc08",412682,1,1,2.57840845464701,1,1,22800,0,4.35793484700045,22800
"s39_vc08",243353,41,16.5555555555556,3.21825083978798,50.2307692307692,407.67153058564,1400,1.70096982896824,3.14612803567824,27.8713629402757
"s4_vc08",344161,72,38.5,4.48069295580394,102.818181818182,902.701325661024,1000,2.01206991976723,3,9.72590627763042
"s40_vc08",54808,22,15.7368421052632,2.8296267437454,23.5,73.7627147180086,800,1.37106786227174,2.90308998699194,34.0425531914894
"s41_vc08",49127,22,13.2222222222222,2.90449779312846,24.75,138.379452738066,600,1.39357520326959,2.77815125038364,24.2424242424242
"s42_vc08",364698,1,1,0.630320007158053,1,1,9200,0,3.96378782734556,9200
"s43_vc08",203302,13,6.55555555555556,1.70664447887452,14.3333333333333,125.087655333621,4800,1.15634720085992,3.68124123737559,334.883720930233
"s44_vc08",283493,51,13.2222222222222,1.42648009489699,65.2857142857143,1154.50697976461,3200,1.81481816005559,3.50514997831991,49.0153172866521
"s45_vc08",190683,25,15.4444444444444,2.32210438089759,28.0588235294118,156.111297378544,800,1.44806945766184,2.90308998699194,28.5115303983229
"s46_vc08",366925,180,335.333333333333,244.632614476363,1106,315.990160603122,3.4e+08,3.04375512696868,8.53147891704226,307414.104882459
"s47_vc08",398291,3,3.22222222222222,1.26593877926683,3.22222222222222,16.2926995474642,460000,0.508155488459631,5.66275783168157,142758.620689655
"s48_vc08",209441,159,30.3333333333333,1.63273191420994,533,4844.83605231089,50000,2.72672720902657,4.69897000433602,93.8086303939963
"s49_vc08",171219,163,17.6666666666667,1.43459402076643,603,5790.59215009024,80000,2.78031731214015,4.90308998699194,132.669983416252
"s5_vc08",270239,86,61,8.36372221346036,138.142857142857,632.786926246053,2200,2.14032843406874,3.34242268082221,15.9255429162358
"s50_vc08",458558,161,43.8571428571429,5.9415328323974,583,3420.19735396191,42000,2.76566855475901,4.6232492903979,72.041166380789
"s51_vc08",527315,2,2.17647058823529,0.224942498898862,2.17647058823529,2.53470428518996,340000,0.337752802688721,5.53147891704226,156216.216216216
"s52_vc08",502603,47,26.8823529411765,3.7409427166028,61,690.8031973724,64000,1.78532983501077,4.80617997398389,1049.18032786885
"s53_vc08",375261,74,6.55555555555556,2.26332513397581,106.714285714286,2287.5490686924,14600,2.02822256180114,4.16435285578444,136.813922356091
"s54_vc08",262046,150,33,1.81442808329486,449.666666666667,5489.93353594503,3800,2.65289069495224,3.57978359661681,8.45070422535211
"s55_vc08",314994,2,2.17647058823529,1.23624764006416,2.17647058823529,7.18964720487278,220000,0.337752802688721,5.34242268082221,101081.081081081
"s56_vc08",684,130,193,29.8461990947734,402,240.224332412964,2000,2.60422605308447,3.30102999566398,4.97512437810945
"s57_vc08",127342,152,16.2941176470588,1.24479976314524,483,5926.29351791111,60000,2.68394713075151,4.77815125038364,124.223602484472
