"","s34_vc5","s1_vc08","s10_vc08","s11_vc08","s12_vc08","s13_vc08","s14_vc08","s15_vc08","s16_vc08","s17_vc08","s18_vc08","s19_vc08","s2_vc08","s20_vc08","s21_vc08","s22_vc08","s23_vc08","s24_vc08","s25_vc08","s26_vc08","s27_vc08","s28_vc08","s29_vc08","s3_vc08","s30_vc08","s31_vc08","s32_vc08","s33_vc08","s34_vc08","s35_vc08","s36_vc08","s37_vc08","s38_vc08","s39_vc08","s4_vc08","s40_vc08","s41_vc08","s42_vc08","s43_vc08","s44_vc08","s45_vc08","s46_vc08","s47_vc08","s48_vc08","s49_vc08","s5_vc08","s50_vc08","s51_vc08","s52_vc08","s53_vc08","s54_vc08","s55_vc08","s56_vc08","s57_vc08","s58_vc08","s59_vc08","s6_vc08","s60_vc08","s61_vc08","s62_vc08","s63_vc08","s64_vc08","s7_vc08","s8_vc08","s9_vc08","s1_vc12","s10_vc12","s11_vc12","s12_vc12","s13_vc12","s14_vc12","s15_vc12","s16_vc12","s17_vc12","s18_vc12","s19_vc12","s2_vc12","s20_vc12","s21_vc12","s22_vc12","s23_vc12","s24_vc12","s25_vc12","s26_vc12","s27_vc12","s28_vc12","s29_vc12","s3_vc12","s30_vc12","s31_vc12","s32_vc12","s33_vc12","s34_vc12","s35_vc12","s36_vc12","s37_vc12","s38_vc12","s39_vc12","s4_vc12","s40_vc12","s41_vc12","s42_vc12","s43_vc12","s44_vc12","s45_vc12","s46_vc12","s47_vc12","s48_vc12","s49_vc12","s5_vc12","s50_vc12","s51_vc12","s52_vc12","s53_vc12","s54_vc12","s55_vc12","s56_vc12","s57_vc12","s58_vc12","s59_vc12","s6_vc12","s60_vc12","s61_vc12","s62_vc12","s63_vc12","s64_vc12","s7_vc12","s8_vc12","s9_vc12"
"s18_vc08",133,99,0,0,0,0,0,0,131,45,137,49,0,103,103,109,14,37,1,27,14,26,41,0,31,78,0,0,34,39,1,10,0,0,11,0,0,0,0,0,0,94,0,67,86,31,76,0,0,29,50,0,68,69,28,55,14,33,31,2,1,98,47,0,0,0,0,0,4,0,0,0,0,0,0,0,0,24,0,0,8,34,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,1,0,0,0,0,0,0,56,0,28,0,0,0,23,87,97,96,0,96,133,0,0,0,0,0,0
"s19_vc08",73,61,0,0,0,0,0,0,72,15,49,82,0,20,62,64,5,27,8,16,14,25,39,0,10,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,62,0,44,52,0,45,0,0,0,16,0,19,22,9,36,0,14,11,2,6,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,58,62,62,0,60,71,0,0,0,0,0,0
"s2_vc08",28,23,3,1,2,3,4,5,20,0,0,0,45,2,0,0,0,0,0,0,0,0,2,4,0,22,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,21,0,0,0,11,0,0,0,0,0,0,12,0,0,0,12,0,4,0,0,24,13,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,18,20,0,18,25,0,0,0,0,0,0
"s20_vc08",154,124,0,0,0,0,0,1,145,70,103,20,2,155,129,137,8,52,14,40,12,46,84,17,19,111,13,13,33,54,50,23,0,4,21,1,0,0,1,1,0,125,0,104,105,27,107,0,14,36,85,0,77,107,31,58,31,72,34,21,15,122,53,0,0,1,1,0,7,0,0,0,0,1,0,6,0,20,1,0,21,52,1,0,0,10,0,0,1,0,1,0,0,0,13,0,0,1,7,2,0,0,0,1,0,0,0,1,0,0,92,0,41,0,1,1,14,93,125,118,0,115,152,0,0,0,0,22,0
"s21_vc08",165,124,0,0,0,0,0,0,157,83,103,62,0,129,167,145,15,64,21,43,24,54,73,0,32,101,0,11,6,69,59,66,0,0,0,0,0,0,0,0,0,138,0,113,108,45,99,0,0,17,31,0,56,98,49,45,2,73,36,1,9,122,55,0,0,0,0,0,0,0,1,0,0,0,1,0,0,17,0,0,0,33,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,80,0,0,0,21,120,130,120,0,118,165,0,0,0,0,8,0
"s22_vc08",169,103,0,0,0,0,0,0,160,76,109,64,0,137,145,172,10,64,10,53,14,55,71,2,28,101,11,32,34,70,54,13,0,0,19,0,0,0,0,0,0,142,0,116,101,35,97,0,15,38,87,0,79,95,42,65,28,69,30,14,12,102,34,0,0,0,0,0,5,0,0,0,0,0,0,0,0,26,0,0,9,52,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,16,0,0,0,30,0,0,0,0,0,0,99,0,41,0,0,0,28,86,134,106,0,107,169,0,0,0,0,22,0
"s23_vc08",16,15,0,1,1,0,1,0,15,7,14,5,0,8,15,10,27,12,4,2,7,0,10,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,11,0,10,16,0,0,0,0,0,0
"s24_vc08",85,63,0,1,1,0,1,1,86,29,37,27,0,52,64,64,12,97,10,17,12,19,30,0,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,4,0,0,2,0,0,0,28,0,0,0,0,0,20,4,5,63,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,40,63,65,0,68,81,0,0,0,0,0,0
"s25_vc08",31,23,0,0,0,0,0,0,29,3,1,8,0,14,21,10,4,10,38,1,10,0,5,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,7,3,1,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,14,18,19,1,26,31,0,0,0,0,0,0
"s26_vc08",82,56,0,0,0,0,0,0,78,25,27,16,0,40,43,53,2,17,1,90,2,30,18,0,4,42,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,59,0,23,13,0,35,0,0,0,7,0,36,0,3,0,0,4,1,0,0,56,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,12,51,31,53,0,66,81,0,0,0,0,1,0
"s27_vc08",31,24,0,0,0,0,0,0,32,7,14,14,0,12,24,14,7,12,10,2,40,1,8,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,9,5,4,23,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,28,22,0,23,29,0,0,0,0,0,0
"s28_vc08",66,52,0,0,0,0,0,0,59,8,26,25,0,46,54,55,0,19,0,30,1,76,13,0,11,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,11,32,0,30,0,2,1,19,1,15,1,7,2,0,15,2,2,5,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,47,34,51,0,55,65,1,0,0,0,0,0
"s29_vc08",116,76,0,0,0,0,0,0,105,34,41,39,2,84,73,71,10,30,5,18,8,13,123,0,14,55,1,0,5,15,0,13,0,0,4,0,0,0,0,0,0,77,0,47,48,11,48,0,0,10,27,0,47,63,9,12,0,29,18,4,6,76,35,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,0,0,0,0,0,0,71,71,67,0,66,116,0,0,0,0,0,0
"s3_vc08",31,30,3,2,1,4,2,7,28,0,0,0,4,17,0,2,0,0,0,0,0,0,0,43,0,24,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,26,0,0,0,14,0,0,0,0,0,0,22,0,0,0,12,0,0,0,0,30,22,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,22,25,25,0,22,30,0,0,0,0,0,0
"s30_vc08",41,35,0,0,0,0,0,0,42,9,31,10,0,19,32,28,1,5,1,4,6,11,14,0,51,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,19,29,2,19,0,12,0,23,0,9,28,15,13,0,2,11,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,36,33,34,0,36,40,0,0,0,0,0,0
"s31_vc08",165,132,0,3,7,10,12,5,133,55,78,29,22,111,101,101,8,27,14,42,18,39,55,24,31,167,42,92,84,109,91,111,0,28,43,15,12,0,2,32,15,128,0,115,115,50,118,0,10,40,88,0,97,114,51,89,63,86,42,35,33,132,64,0,5,0,2,18,0,0,0,8,0,0,0,22,0,21,2,5,38,11,0,0,0,7,0,13,0,0,0,0,1,0,6,0,0,2,0,0,0,2,0,16,0,0,0,0,0,0,112,0,8,0,1,8,0,128,128,125,0,138,161,0,0,0,7,0,0
"s32_vc08",42,30,0,0,0,0,0,0,33,0,0,0,0,13,0,11,0,0,0,0,0,0,1,0,0,42,57,2,20,26,2,5,0,2,0,2,2,1,1,2,2,36,0,12,9,0,0,0,0,0,1,0,8,0,0,0,0,0,2,0,0,30,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,7,31,0,28,42,0,0,0,0,0,1
"s33_vc08",102,77,0,0,0,0,0,0,80,0,0,0,0,13,11,32,0,0,0,5,0,0,0,0,0,92,2,111,16,10,9,27,0,11,0,4,1,1,1,6,2,26,0,3,33,0,7,0,0,0,0,0,19,0,0,0,0,4,3,0,0,78,17,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,10,0,0,1,0,0,0,0,69,23,0,78,99,0,0,0,0,0,1
"s34_vc08",85,61,0,0,0,0,0,0,63,0,34,0,0,33,6,34,0,0,0,0,0,0,5,0,0,84,20,16,96,26,29,23,1,4,0,3,1,1,1,14,2,62,0,39,33,0,45,0,0,0,7,0,20,0,10,8,0,19,1,0,0,62,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,45,0,0,0,0,0,0,20,65,56,0,70,80,0,0,0,0,0,1
"s35_vc08",119,87,0,0,0,0,0,0,85,0,39,0,1,54,69,70,0,0,0,10,0,0,15,0,0,109,26,10,26,125,35,58,0,2,0,1,5,1,2,1,3,61,0,55,44,0,2,0,0,1,39,0,55,41,19,50,0,12,12,0,0,84,25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,53,0,0,0,0,0,0,7,76,79,0,86,118,0,0,0,0,0,1
"s36_vc08",109,61,0,0,0,0,0,0,73,0,1,0,0,50,59,54,0,0,0,0,0,0,0,0,0,91,2,9,29,35,117,6,1,2,0,3,2,1,1,6,3,74,0,48,34,3,52,0,0,0,32,0,54,1,0,14,1,36,1,0,1,61,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,32,0,0,0,0,0,0,21,76,74,0,77,109,0,0,0,0,0,1
