,s34_vc5,s1_vc08,s10_vc08,s11_vc08,s12_vc08,s13_vc08,s14_vc08,s15_vc08,s16_vc08,s17_vc08,s18_vc08,s19_vc08,s2_vc08,s20_vc08,s21_vc08,s22_vc08,s23_vc08,s24_vc08,s25_vc08,s26_vc08,s27_vc08,s28_vc08,s29_vc08,s3_vc08,s30_vc08,s31_vc08,s32_vc08,s33_vc08,s34_vc08,s35_vc08,s36_vc08,s37_vc08,s38_vc08,s39_vc08,s4_vc08,s40_vc08,s41_vc08,s42_vc08,s43_vc08,s44_vc08,s45_vc08,s46_vc08,s47_vc08,s48_vc08,s49_vc08,s5_vc08,s50_vc08,s51_vc08,s52_vc08,s53_vc08,s54_vc08,s55_vc08,s56_vc08,s57_vc08,s58_vc08,s59_vc08,s6_vc08,s60_vc08,s61_vc08,s62_vc08,s63_vc08,s64_vc08,s7_vc08,s8_vc08,s9_vc08,s1_vc12,s10_vc12,s11_vc12,s12_vc12,s13_vc12,s14_vc12,s15_vc12,s16_vc12,s17_vc12,s18_vc12,s19_vc12,s2_vc12,s20_vc12,s21_vc12,s22_vc12,s23_vc12,s24_vc12,s25_vc12,s26_vc12,s27_vc12,s28_vc12,s29_vc12,s3_vc12,s30_vc12,s31_vc12,s32_vc12,s33_vc12,s34_vc12,s35_vc12,s36_vc12,s37_vc12,s38_vc12,s39_vc12,s4_vc12,s40_vc12,s41_vc12,s42_vc12,s43_vc12,s44_vc12,s45_vc12,s46_vc12,s47_vc12,s48_vc12,s49_vc12,s5_vc12,s50_vc12,s51_vc12,s52_vc12,s53_vc12,s54_vc12,s55_vc12,s56_vc12,s57_vc12,s58_vc12,s59_vc12,s6_vc12,s60_vc12,s61_vc12,s62_vc12,s63_vc12,s64_vc12,s7_vc12,s8_vc12,s9_vc12
lm109 mapping,761,1502,0,2136,57,0,0,2609,1914,520,115,0,0,156,706,313,0,0,0,0,0,0,0,740,0,5861,0,89,3423,1465,778,0,0,585,0,160,0,0,0,0,0,2544,0,133,39,474,125,0,0,46,206,0,0,7,0,38,97,0,0,1693,0,1052,0,0,0,0,18,0,112,0,0,0,0,0,0,0,0,1238,0,0,0,232,0,0,0,2522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,605,0,0,12,0,210,0,0,0,0,12179,8035,2353,0,2745,6178,0,0,0,0,0,0
lm110 mapping,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1944,0,110,0,899,1468,0,0,0,0,0,0
lm111 mapping,957,2173,1285,0,0,0,0,0,282,0,221,0,0,572,114,15,0,82,0,1,0,0,4,0,0,1640,0,51,548,0,0,26,0,0,1334,0,106,0,0,0,432,2411,0,25,4,1120,356,0,0,0,64,0,1,42,0,108,4102,356,1643,0,0,1402,2149,0,0,0,8,0,0,0,0,0,0,0,0,1325,0,919,0,0,857,1360,0,0,0,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,0,0,348,0,0,2126,0,0,0,1211,0,19,0,0,4026,2013,20124,9776,15205,0,9439,4948,0,0,0,0,771,0
lm112 mapping,1595,2466,0,0,0,0,0,0,6224,485,399,202,0,4892,273,2246,0,269,438,231,0,107,1488,1153,2980,5806,22,180,502,1005,522,136,0,0,636,0,0,0,0,0,0,4999,0,40,45,0,232,0,569,0,57,0,3,5,324,24,221,93,0,0,1561,1885,398,0,3778,0,12,404,515,0,0,0,0,0,0,1810,0,6856,0,0,239410,347,0,0,0,69,0,80661,0,0,8254,0,24,0,2146,0,0,0,391,368,0,0,0,534,0,0,1395,0,0,0,558,0,22,0,0,4503,466,13022,9256,12376,0,4651,9618,0,0,0,0,116,0
lm113 mapping,574,595,0,0,0,0,0,0,1131,6154,1,568,0,36,171,343,0,0,0,0,0,109,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2275,0,158,28,0,203,0,209,0,110,0,0,40,18,87,0,244,0,0,0,418,0,0,0,0,0,0,16,0,0,0,0,0,0,8664,0,0,0,0,4131,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,734,0,0,0,0,0,2,0,0,8310,0,6471,0,7939,0,803,3366,0,0,0,0,0,0
lm114 mapping,950,2912,0,0,0,0,0,0,1232,630,398,109,295,478,356,495,0,0,0,334,0,1591,2,0,0,4816,0,46,310,142,534,3661,0,0,465,0,0,0,754,0,690,648,0,81,39,246,48,0,0,0,1,0,2,21,0,51,261,173,1874,0,2009,2116,1014,0,0,0,0,0,7824,0,0,0,0,0,0,0,0,2421,0,0,890,433,0,0,0,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,19,0,15,0,0,0,236,2569,5274,10093,0,5162,4681,0,0,0,0,0,0
lm115 mapping,837,5714,0,0,0,0,0,0,1842,236,1168,155,0,386,705,2019,0,435,0,38,0,0,0,0,0,2440,92,0,207,141,73,54,0,0,0,0,0,0,0,0,0,1617,0,22,14,825,116,0,0,0,122,0,7,7,102,0,0,56,0,0,0,4235,293,0,0,0,8,0,58,0,0,10860,0,0,0,0,0,915,0,428,954,133,0,0,0,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,2417,0,0,14,0,8,0,2095,0,655,4946,3855,1950,0,5513,5336,0,0,0,0,0,0
lm116 mapping,1676,8747,0,0,0,7783,0,0,1565,180,765,1514,0,1000,720,4861,0,375,0,0,346,297,1002,691,0,3452,23,77,246,169,88,110,0,583,1482,0,0,0,0,0,0,2817,0,220,63,1799,337,0,285,96,146,0,3,56,23,0,183,200,6948,1441,0,5517,570,0,0,0,8,0,1179,0,0,2288,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3082,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,19,0,10,0,0,0,229,12997,7712,12056,0,4364,10324,0,0,0,0,0,0
lm117 mapping,881,4391,0,0,0,4054,0,0,3269,158,340,279,0,1586,469,3043,256,1159,7454,25,0,80,313,0,373,2747,0,9,0,2,2969,31,0,0,0,0,0,0,0,0,0,5060,0,75,44,638,643,0,0,0,99,0,6,45,0,166,180,0,1881,1707,0,3210,8077,0,0,0,29,415,0,0,0,0,0,0,0,3533,0,0,0,0,669,236,0,0,0,0,0,0,0,0,0,0,24,0,1485,0,0,0,0,0,0,0,0,202,0,0,1001,0,0,0,26,0,21,0,0,0,0,11668,14329,13889,0,4183,6369,0,0,0,41485,0,0
lm118 mapping,499,114,0,128,0,0,0,0,309,99,1,0,0,289,20,241,0,87,0,0,0,0,65,0,0,315,2311,18,107,54,0,151,0,0,123,0,0,0,0,484,0,851,0,80,32,0,25,0,0,0,44,0,0,4,0,0,0,104,2491,0,0,90,0,0,0,55619,9,0,0,0,0,0,0,0,0,5761,0,965,0,0,0,128,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,82,7638,7747,12474,0,2358,4288,0,0,0,0,0,0
