barcode,vc1,s61_vc12,s40_vc16,s41_vc16,s34_vc5,s1_vc08,s10_vc08,s11_vc08,s12_vc08,s13_vc08,s14_vc08,s15_vc08,s16_vc08,s17_vc08,s18_vc08,s19_vc08,s2_vc08,s20_vc08,s21_vc08,s22_vc08,s23_vc08,s24_vc08,s25_vc08,s26_vc08,s27_vc08,s28_vc08,s29_vc08,s3_vc08,s30_vc08,s31_vc08,s32_vc08,s33_vc08,s34_vc08,s35_vc08,s36_vc08,s37_vc08,s38_vc08,s39_vc08,s4_vc08,s40_vc08,s41_vc08,s42_vc08,s43_vc08,s44_vc08,s45_vc08,s46_vc08,s47_vc08,s48_vc08,s49_vc08,s5_vc08,s50_vc08,s51_vc08,s52_vc08,s53_vc08,s54_vc08,s55_vc08,s56_vc08,s57_vc08,s58_vc08,s59_vc08,s6_vc08,s60_vc08,s61_vc08,s62_vc08,s63_vc08,s64_vc08,s7_vc08,s8_vc08,s9_vc08,s1_vc12,s10_vc12,s11_vc12,s12_vc12,s13_vc12,s14_vc12,s15_vc12,s16_vc12,s17_vc12,s18_vc12,s19_vc12,s2_vc12,s20_vc12,s21_vc12,s22_vc12,s23_vc12,s24_vc12,s25_vc12,s26_vc12,s27_vc12,s28_vc12,s29_vc12,s3_vc12,s30_vc12,s31_vc12,s32_vc12,s33_vc12,s34_vc12,s35_vc12,s36_vc12,s37_vc12,s38_vc12,s39_vc12,s4_vc12,s40_vc12,s41_vc12,s42_vc12,s43_vc12,s44_vc12,s45_vc12,s46_vc12,s47_vc12,s48_vc12,s49_vc12,s5_vc12,s50_vc12,s51_vc12,s52_vc12,s53_vc12,s54_vc12,s55_vc12,s56_vc12,s57_vc12,s58_vc12,s59_vc12,s6_vc12,s60_vc12,s61_vc12,s62_vc12,s63_vc12,s64_vc12,s7_vc12,s8_vc12,s9_vc12
lm21 mapping,157,474,0,733,145,657,0,0,0,0,0,0,68,1,865,16,0,85,0,0,0,0,0,0,0,4,0,0,0,89,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,508,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,0,0,1908,0,180,0,0,474,0,0,0,0,0,2
lm22 mapping,1090,7091,875,5157,1129,814,0,0,0,1,0,0,2806,119,145,73,0,1226,341,1350,44,732,137,84,4,344,0,0,0,0,1,1,1,0,3,0,0,0,0,3,2,0,0,3,1,317,3,4,17,228,0,5,34,39,66,0,5,4,0,70,0,1,0,0,0,591,400,0,1,0,91,301,61,16,0,0,5,2,0,2,104805,503,0,0,0,0,0,0,0,1865,3,0,0,0,345,0,123,0,10,0,0,0,674,3,0,0,0,424,9,0,0,722,9,0,104,0,166,1,0,0,283,7996,5122,4905,0,6315,7091,0,0,140,0,133,10
lm23 mapping,904,11116,448,990,825,3861,0,1719,23,1,3,1417,1680,1,154,66,819,70959,129,194,2,1,0,2,4,25,169,1058,1,308,3,2,0,1,40,6,3,3,522,3,2,0,5,37,0,1404,7,41,12,1528,70,30,78,40,3,9,2,2,0,0,2835,201,1474,1607,1,2841,3939,0,2344,0,7,8,104,17,0,13,8,0,0,2216,0,522,0,0,1649,156,7041,0,0,0,2,0,0,0,2037,0,8,0,780,0,0,0,2158,0,0,0,0,455,4,0,15826,259,24,0,12,4,23,1,0,0,0,15390,3740,26122,0,10677,11116,0,0,69,0,146,26
lm24 mapping,522,3676,133,2851,1333,3120,4,0,1,2,6,2,2951,415,281,259,3,2342,110,554,3,1,5,655,2,2,2,0,3021,4362,2,1,5,32,1,3,10,6,5,4,2,4,0,4,1,4222,100,156,100,953,460,97,1553,301,865,83,4,62,820,340,958,255,1446,3,880,2338,4,1,3,0,0,909,0,2,0,4,18,0,0,22,0,0,0,0,1,207,0,0,0,0,1,1598,0,13314,0,0,2,0,6,0,0,0,3,0,5,3,0,0,0,0,0,0,16,0,4,674,0,0,0,15821,418,14926,342,21045,0,1983,3676,340,114,778,0,0,7
lm25 mapping,138,704,0,0,86,1,0,0,0,0,0,0,277,469,139,7,0,0,62,695,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,233,0,0,8,0,1,2,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,5735,0,0,0,0,0,0,0,0,9,0,0,0,3,5318,0,0,0,643,2,0,0,0,15,0,0,0,72,0,0,0,0,8068,0,0,0,5014,704,0,3,0,0,8,0
lm26 mapping,1255,9456,1757,4514,1353,2834,2,0,4,7,5,0,3434,295,740,419,0,1154,1009,281,2,1,640,150,0,133,8103,0,334,2357,578,34,388,226,115,5,28,6,1761,1280,1,0,58,938,376,1321,36,8,106,3,5,75,87,20,111,4,1,42,0,114,3,94,1,4148,1433,2016,888,865,0,0,349,0,65,10,53,0,0,0,301130,544,0,0,0,0,172,593,0,0,0,3541,3,0,7,0,188,0,444,0,2197,0,0,0,0,558,0,0,0,56,8,30,0,931,30,0,406,1,19,20,0,0,0,24002,12762,10170,64379,10117,9456,0,152,0,0,136,29
lm27 mapping,143,596,0,827,118,0,0,0,0,0,0,0,863,0,108,92,0,0,31,331,0,1,0,0,0,0,188,1,167,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,773,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9396,0,557,0,0,596,0,0,0,0,0,14
lm28 mapping,683,4114,0,1857,588,1262,1,5,388,3,306,4,1347,1,0,5,342,41,2,1,3,0,2,111,0,1,2236,0,0,2279,18,25,368,293,1,7273,14,570,0,1,105,0,0,0,2,2479,6,10,1,209,23,4,39,1,71,2,1,3,29,0,1154,152,2,1,1377,869,4550,1,0,0,5,150,40,3,0,0,0,1,0,0,2,202,0,0,0,101,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,133,0,0,0,3,0,6,0,0,1378,4,0,1,0,6,3,0,0,1075,4831,1314,3442,0,3741,4114,0,0,0,0,5,6
lm29 mapping,678,5743,3083,1593,614,1168,0,1,0,17,3929,0,1869,49675,326,119,0,378,778,266,12,93,21,200,0,6,102,0,2,1951,24,76,588,725,713,20337,3,405,0,3,191,0,570,653,45754,3599,47,99,111,159,317,268,473,76,1,115,1,27,18,54,0,286,17,1,0,841,995,2,19,59315,29,0,2284,52,0,1,0,49794,0,0,0,330,0,0,0,0,23045,0,0,2357,0,0,0,0,0,260746,0,0,951,11667,0,0,20,0,11695,0,0,0,15,0,0,0,15590,0,22,0,1,0,0,0,0,6369,10475,3440,0,3868,5743,119,924,179,0,0,291
lm30 mapping,1336,8154,1313,8410,1422,5830,2158,1303,3,4129,3698,2,1612,311,1614,375,2806,4699,615,1119,93,260,4,2,4,290,1703,877,6,1634,4,6,5,6555,6,58,4,3,2497,5,6,4,33,6,79,2451,33,55,3360,2726,549,36,208,211,275,27,10,107,53,132,1490,63,3426,1370,0,3761,2621,1815,2884,0,16,2107,0,42,770,164629,0,0,0,0,0,17,0,2122,46,302,0,41863,0,0,0,0,63904,0,0,0,62,0,978,0,0,0,4,0,0,0,286,0,0,12951,0,0,0,0,2470,0,0,0,835821,3719,0,15822,14539,14932,0,5583,8154,0,0,567,0,0,26
