,,KPPR1_Lung_177,KPPR1_Spleen_177,KPPR1_Liver_177,KPPR1_Lung_178,KPPR1_Spleen_178,KPPR1_Liver_178,KPPR1_Blood_178,KPPR1_Lung_179,KPPR1_Spleen_179,KPPR1_Liver_179,KPPR1_Blood_179,KPPR1_Lung_190,KPPR1_Spleen_190,KPPR1_Liver_190,KPPR1_Blood_190,KPPR1_Lung_191,KPPR1_Spleen_191,KPPR1_Liver_191,KPPR1_Blood_191,KPPR1_Lung_192,KPPR1_Spleen_192,KPPR1_Liver_192,KPPR1_Blood_192,NOX2_Lung_187,NOX2_Spleen_187,NOX2_Liver_187,NOX2_Blood_187,NOX2_Lung_188,NOX2_Spleen_188,NOX2_Liver_188,NOX2_Blood_188,NOX2_Lung_189,NOX2_Spleen_189,NOX2_Liver_189,NOX2_Blood_189,NOX2_Lung_200,NOX2_Spleen_200,NOX2_Liver_200,NOX2_Blood_200,NOX2_Lung_201,NOX2_Spleen_201,NOX2_Liver_201,NOX2_Blood_201
,,s25_ch06,s38_ch06,s61_ch06,s26_ch06,s39_ch06,s62_ch06,s50_ch06,s27_ch06,s40_ch06,s63_ch06,s51_ch06,s73_ch07,s83_ch07,s103_ch07,s93_ch07,s74_ch07,s84_ch07,s104_ch07,s94_ch07,s75_ch07,s85_ch07,s105_ch07,s95_ch07,s35_ch06,s47_ch06,s70_ch07,s58_ch06,s36_ch06,s48_ch06,s71_ch07,s59_ch06,s37_ch06,s49_ch06,s72_ch07,s60_ch06,s81_ch07,s91_ch07,s111_ch07,s101_ch07,s82_ch07,s92_ch07,s112_ch07,s102_ch07
KPPR1_Lung_190,s73_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0.823655338,0.806302083,0.593689519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Spleen_190,s83_ch07,0,0,0,0,0,0,0,0,0,0,0,0.823655338,0,0.896377175,0.852932158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Liver_190,s103_ch07,0,0,0,0,0,0,0,0,0,0,0,0.806302083,0.896377175,0,0.82460053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Blood_190,s93_ch07,0,0,0,0,0,0,0,0,0,0,0,0.593689519,0.852932158,0.82460053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Lung_191,s74_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68320035,0.718815243,0.71888271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Spleen_191,s84_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68320035,0,0.170850467,0.169961924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Liver_191,s104_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718815243,0.170850467,0,0.010565501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Blood_191,s94_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71888271,0.169961924,0.010565501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Lung_192,s75_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896043068,0.843316047,0.89651272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Spleen_192,s85_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896043068,0,0.880757753,0.259259849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Liver_192,s105_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843316047,0.880757753,0,0.882816195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Blood_192,s95_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89651272,0.259259849,0.882816195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Lung_187,s35_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862950821,0.844575834,0.842319273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Spleen_187,s47_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862950821,0,0.333587577,0.679407304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Liver_187,s70_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844575834,0.333587577,0,0.496969714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Blood_187,s58_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842319273,0.679407304,0.496969714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Lung_188,s36_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.860628024,0.849595841,0.883982125,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Spleen_188,s48_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.860628024,0,0.341137191,0.766910818,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Liver_188,s71_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849595841,0.341137191,0,0.697113653,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Blood_188,s59_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883982125,0.766910818,0.697113653,0,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Lung_189,s37_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884319748,0.873159564,0.889397306,0,0,0,0,0,0,0,0
NOX2_Spleen_189,s49_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884319748,0,0.440411478,0.581373488,0,0,0,0,0,0,0,0
NOX2_Liver_189,s72_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873159564,0.440411478,0,0.300976436,0,0,0,0,0,0,0,0
NOX2_Blood_189,s60_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889397306,0.581373488,0.300976436,0,0,0,0,0,0,0,0,0
NOX2_Lung_200,s81_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866846588,0.863843716,0.870154251,0,0,0,0
NOX2_Spleen_200,s91_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866846588,0,0.350737167,0.547118927,0,0,0,0
NOX2_Liver_200,s111_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863843716,0.350737167,0,0.536027639,0,0,0,0
NOX2_Blood_200,s101_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870154251,0.547118927,0.536027639,0,0,0,0,0
NOX2_Lung_201,s82_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852778955,0.836726488,0.787338137
NOX2_Spleen_201,s92_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852778955,0,0.871378762,0.6525225
NOX2_Liver_201,s112_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836726488,0.871378762,0,0.864609796
NOX2_Blood_201,s102_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787338137,0.6525225,0.864609796,0
